,tweet
206,"@OTFbrighton we believe in partnership. Our team, our clients, our supporters. They care about the world around them - its climate, its compassion, its community. We've teamed up with @octopus_energy to provide a green, @WhichUK recommended energy deal 

https://t.co/sf9M0R5ZDy https://t.co/1DuGf4XQsT"
207,@octopus_energy Had a smart metre fitting booked for December which unfortunately had to cancel due to self isolation and applied for another slot but still not heard anything??
208,@g__j @octopus_energy Loved it Greg! 👍🙌🙌
209,"""We'll get through this together. Love &amp; Power. London""

@octopus_energy 

#ooh #outofhome #outdooradvertising #advertising https://t.co/NIzFe4ykhU"
210,@octopus_energy It's OK won't bother you any more. I found a better tariff back at @YourSSE. They responded to a query in a couple of hours and don't seem to mind talking to their customers on the phone.
211,"Sounds like @octopus_energy's @g__j has got the #peopleOS mindset sussed, doing away with #HR's top-down #management structures. Result: happy, self-reliant, flourishing employees and a very successful business. 
👏👏👏 #pioneer   @BBCNews 
https://t.co/VhaJ92dbbr"
212,@uktedsmith @dougalshawBBC @octopus_energy Oh dear! You’ll see we said we give managers training and guidance. The distinction is no HR department creating processes and procedures for others.
213,Could small biz owners learn from this? https://t.co/T5O39q0AZH @octopus_energy @dougalshawBBC
214,@g__j @ariadneassoc @octopus_energy Why were you advertising on LinkedIn as recently as July 2020 for an HR Business Partner role?
215,"@dougalshawBBC @g__j @octopus_energy Great that managers get to manage and lead. I do think about the employee though, how do they move departments, up skill, get emotional support ?"
216,@dougalshawBBC @g__j @octopus_energy And we now learn that they have outsourced their main Human Resources function through Curve Group - I do hope the BBC do some proper investigations into all this!
217,@octopus_energy I emailed you on Sunday but haven't received a reply. I'm disappointed as you say your response time is less than 24hrs at the moment.
218,@evmanuk @octopus_energy @g__j As an IT Manager I've always said we'd be much more productive without our users. 😜
219,Morning @octopus_energy just submitted my starting gas meter reading and I think you may have a gremlin in your meter reading wheel of fortune... https://t.co/DVZsYuKNq8
220,@flexibledragnet @KetanJ0 @octopus_energy A tweet was inadequate for nuance. My assertion stands. You're also right.
221,"@octopus_energy how long is it taking for final bills to be issued?

Submitted final meter readings on Sunday but not had it yet.

Thanks"
222,@The_Michael_Lee @knowledgeprob @SpenceEnergyUT @jadler1969 @EnergyLawProf @ProfDanielLyons @profamystein @octopus_energy understand the value of flexible tariffs in helping balance supply and demand. Infuture we all need demand to be more flexible if supply is not available to meet all demand. It will help prevent rolling blackouts.
223,"@trib @KetanJ0 @octopus_energy You are joking - right. I’ve worked with some brilliant HR people and I’ve worked in places where the HR department was appalling. HR departments generally reflect the broader culture of the organisation. No more, no less."
224,"🐙Please if you haven’t already seen this important partnership NatWest Group has launched a joint offer with @Octopus_Energy to help people &amp; businesses go green. 

This demonstrates the bank’s commitment to playing an active role in tackling climate change 🐙 https://t.co/G5fdVouyLC"
225,"@LBHF @londoncouncils @StephenCowan @octopus_energy @HelloUpstream @imperialcollege @caffeinepartner @blenheimchalcot The sharing economy has lost some of its original allure. In the early days, it was rare not to have a conversation about how the sharing economy could responsibly mitigate hyper-consumption and truly build community connections. The focus shifted towards convenience, price etc."
226,"@KetanJ0 @octopus_energy We're it not for HR, I know people who wouldn't have a fixed date of pay. HR is the conscience that Finance can't or won't budget for."
227,"Switching to 100% renewables in the UK is a doddle compared to to the US.

Takes 10 minutes.

AND ITS CHEAPER ! WHAT ARE YOU WAITING FOR !

@octopus_energy"
228,@octopus_energy please could you make contact to discuss compensation for our much delayed gas connection as promised via recent chats with @g__j and Alex Groocock (who mysteriously seems to have disappeared off Twitter?!)
229,"@Havant_Enviro @matt303 @octopus_energy @BBCNews CTO/Cofounder @eddisonj is architect of all tech. The model is more ""tech at top table"""
230,"@matt303 @octopus_energy @g__j @BBCNews Design?
I suppose you could call it that."
231,"@steven_bryen @9600 @quentynblog @swardley @octopus_energy I wanted a distraction earlier so looked up their jobs site, the office manager does a lot of what HR would do, but I do wonder what it's like there if your line manager is treating you badly. I hope leaving isn't a staff members only option https://t.co/Cqq87TUtNE"
232,"@9600 @EwanToo @quentynblog @swardley @octopus_energy I think when they say no IT Dept they mean a central IT department serving the needs of their internal staff (laptops,corp networking etc). I would bet that they definitely have engineering teams working on things like the pricing API."
233,"@SuperVallo @octopus_energy Odd, as I had a problem last week, email response within 30 mins. Issue resolved within an hour."
234,@octopus_energy Markets itself as being cheaper than most suppliers but I’m currently with @edfenergy and pay 13.01p/kWh + 19.50p standing charge for electricity and 2.279p/kWh + 19.50p standing charge for gas which overall is considerably lower than the quote below. https://t.co/QoMHNVNoVU
235,@brooktop68 @au_tom_otive @g__j @octopus_energy Literally post means nothing ...
236,@Kyverdale14 @edfenergy @octopus_energy Funny ....
237,@pickled_tinker @octopus_energy Dreamers .... playing in a big league like Del Boy
238,"@octopus_energy has no IT dept or HR? So makes me wonder, who secures your customer data and payment details? A 3rd party? That won't mitigate your liability when the day your service gets hacked."
239,@TomPegden @octopus_energy @g__j Hope he mentioned his first wind turbine too!
240,"@The_Michael_Lee @octopus_energy I really must be in the minority my Octopus experience is nothing as wonderful as the comments on here only still with them as I cannot afford to pay the debt I have , that’s with paying thirty quid extra a month"
241,"Yep - so brilliant that ⁦@octopus_energy⁩ has ignored the four emails my wife has sent them recently. Maybe reign in the bragging until you can do the basics, yeah? 

CEO Secrets: 'My billion pound company has no HR department' - BBC News https://t.co/KoMRJG4fre"
242,@octopus_energy @g__j @BBCNews Maybe explains why my smart meter isn’t connect after 6 months and not response to my email over a week ago
243,@dougalshawBBC @BBCBusiness Do you think perhaps you should have done a bit more research into this man first .... or are you happy he appears to just be lying about this? #octopusenergy @octopus_energy https://t.co/qKEGzz8anW
244,@danih83_ @BulbUK @octopus_energy Well watch out- I tweeted here in exasperation of NEVER getting a response via email - was THEN promised a call back and two weeks later : Silence. Again. And again...
245,"@edfenergy I have never, ever received such terrible service as I have with edf. Call you? Text you? Use the live chat service? All are as bad as each other. Funniest thing is they have what they call the ""care team"". Hello @octopus_energy I'm heading your way"
246,@KetanJ0 @octopus_energy Sounds quite disastrous to me.
247,"@au_tom_otive @g__j @octopus_energy The larger an organisation becomes, the more you’d expect depts with dedicated functions. But that does foster silos and a them &amp; us mentality. I’ve seen it! With the right culture you can have the best of both worlds. Be interested to see how they evolve as they grow."
248,"@bulgaruadrian @octopus_energy It's a chrome app/extension, login to your account on chrome and your prompted to add it to your home screen."
249,@danih83_ @BulbUK @octopus_energy octopus got an app in PlayStore?
250,Well done it must work as it’s the best energy company we been with ! Super customer service and great prices ! Keep up the good work!  ⁦@octopus_energy⁩  https://t.co/Vj8eDjENsk
251,@pssuils @octopus_energy Go Kerry! Octopus Rocks!
252,@octopus_energy  is your response time really 15 hours? We’ve been waiting over 150 hrs for a response from your customer service. Think the SLA’s aren’t that correct on the website....
253,"@raimonick @octopus_energy Hello, just about to use your referral link to switch from Bulb to @octopus_energy. It’s about time I made use of this 5p per kWh business! Ta 🙂"
254,"@MurrayData Would've liked to have been given more on the organisational design principles &amp; structure underpinning @octopus_energy in this @dougalshawBBC article personally🤔Suppose that's what @Google is for though.Until then,I'm pondering where they are on the spider/starfish spectrum...."
255,"@dougalshawBBC @g__j @octopus_energy An interesting one! What I take from this is that you can:
1) value the skills of HR/IT AND 
2) have a people/tech culture so core to your teams that you don’t need “departments” It’s not either/or.... 👍🏼
Ps I learned my HR skills from my amazing call centre manager Tuffy"
256,@JasonWaWa @g__j @RobACareerPsych @dougalshawBBC @octopus_energy Exactly. Changing the name doesn't make it radical.
257,"@JasonWaWa @g__j @RobACareerPsych @dougalshawBBC @octopus_energy Well, UK employment law and company law sometimes say different."
258,@genius_learning @g__j @RobACareerPsych @dougalshawBBC @octopus_energy I had a brilliant CEO in 1995 who firmly believed that he should exit any business which needed an HR dept and advised us likewise.
259,"@genius_learning @g__j @RobACareerPsych @dougalshawBBC @octopus_energy There is a bizarre mindset that a company moves from being a startup to “grown up” it has to suddenly implement lots of policies, procedures, audits and the staff to go with them.  I have zero problem with a £1bn MCAP startup."
260,"@ariadneassoc @octopus_energy On a different group, they had their glass door reviews.  Sound like they need a good HR team"
261,"PS I've done 5yrs of telesales, customer service and I never want to do it again. My job was to repeatedly say no, then transfer up a tier to someone who could poss say yes. It was f*****g hell. Appears @octopus_energy call handlers do everything, no hierarchy. Far better. @g__j"
262,"@KetanJ0 @octopus_energy As someone whose partner is a senior HR person, Mr Billion Dollar Company is asking for any number of behavioural and worker's rights lawsuits. Let alone the inevitable descent of his tech infrastructure into chaos. HR protects workers and the organisation."
263,@octopus_energy Fingers crossed can sort this issue 😁
264,@octopus_energy Sent you pm
265,"@octopus_energy Hi, I need to clarify my meter readings, can anyone help?"
266,@VibePay @VibePayBusiness @monzo @MrBeast How about my Energy bill??  @octopus_energy 🐙 @VibePay ✌🙏 #vibepay https://t.co/PuUWRQR36o
267,@genius_learning @g__j @RobACareerPsych @dougalshawBBC @octopus_energy I would imagine that those tasked with performing a specialist HR function are delighted that they are treated as SMEs and a consultative service rather than dealing with “HR violations”.
268,@octopus_energy I've just checked online banking and it's showing a pending DD so don't want to setup another just incase two come out
269,@energystatsuk @octopus_energy More expensive than yesterday
270,"@genius_learning @g__j @RobACareerPsych @dougalshawBBC @octopus_energy I certainly didn’t read the interview as anything more than staff being empowered to make their own decisions and find solutions to their own problems, with management support where necessary. And managers trained in HR processes."
271,@octopus_energy @g__j @BBCNews Love this. Thinking differently. Smart approach 👏🏻
272,@g__j @lynthearcher @evmanuk @octopus_energy @eddisonj Sounds quite similar.  Cheers Greg.
273,"@octopus_energy and two DD amounts come out. I think this has come about due to merging two accounts, an old previous one and a new one"
274,@octopus_energy just a quick question but I'm a new customer and in process of moving to Agile. I've logged into account and noticed my direct debit amount has disappeared and asking to setup a new one. Before I setup a new one I want to make sure the old DD isn't still active..
275,"@Marko_tweet @lynthearcher @evmanuk @octopus_energy @eddisonj We've a great guy internally who sets the standards and then scales it. Part of the key has been to have very little kit! And then yes, things like WiFi have outside help..."
276,@g__j @lynthearcher @evmanuk @octopus_energy @eddisonj Thanks Greg-I work for a fairly small firm of 200 staff with 13 offices (now 200 offices!). We have a v.small IT dept of me and 2 developers so always interested how others handle these things. Assume your kit has 3rd party support?
277,"Fascinating interview with @g__j of @octopus_energy ; the sense of empowerment really resonated &amp; reminded me of an interview I did with @hr_disruptive where we discussed the EACH framework (Employees as Adults, Consumers and Human beings) https://t.co/2Qyo2dU62Z #People #HR https://t.co/FsC74OdSxO"
278,Can anyone else on the @octopus_energy Tesla tariff corroborate? cc. @TeslaInTheUK @WholeMarsBlog ☝🏻
279,"@eonenergyuk @eon_next account automatically swapped from npower. Up for renewal, only options required a smart meter, just swapped to @octopus_energy"
280,@rml2rpd @MLiebreich @g__j @octopus_energy Thank you for sharing!
281,@octopus_energy can some one email me back please you asked these questions about my meter and all of sudden my account in not in credit
282,@waynetpm @BBCBusiness @Workday @DerekNixson can help @octopus_energy with HR provision
283,"@PeugeotUK If you use @OhmeEV smart chargers you can charge your car when the electricity is the cheapest if you join @octopus_energy and use their Agile time of use tariffs, which will dramatically reduce you EV charging costs and reduce the impact to the grid."
284,Missed 1st 6mins but currently watching live  @MLiebreich @MLCleaningUp @g__j @octopus_energy https://t.co/7gSMffi3RF looking forward to interesting conversation #energy #Economics #environment
285,@octopus_energy how do you view the meter reading history?
286,"@TrevorWAllman @HibbsA @SpeakSarahSpeak @octopus_energy Doesn't that conflict with your ""burn everything"" ethos for electricity generation? I'm sure you can find yourself a dirtier tariff, but it won't necessarily be cheaper."
287,Some thought-provoking ideas by #GregJackson @g__j CEO of @octopus_energy via @BBC on #HR #IT and #creativeemployees https://t.co/8szvZGtICU
288,@Marko_tweet @lynthearcher @evmanuk @octopus_energy @eddisonj Hi Mark.. we don't really use VPNs (there's a cpl niche areas) - our core platform (Kraken) is cloud based and runs in browser. We use a lot of chromebooks for example. @eddisonj is the cofounding CTO.
289,@dougalshawBBC @g__j @octopus_energy I’m an @octopus_energy customer. I’m not surprised that @g__j has taken this route. Brilliant company to deal with that oozes innovation too.
290,"🚨NEW EPISODE ALERT🚨 

@g__j, Founder &amp; CEO of @octopus_energy joins @MLiebreich for a conversation covering #technology, #renewables, and customer service! He's bringing ‘power to the people’ by supplying customers 100% green electricity! 

LIVE NOW: https://t.co/cTPqLP4nkg https://t.co/L3sMnOg4Ig"
291,@oddbin @octopus_energy @dougalshawBBC @BBCNews Goodness no! I'm sorry if my message wasn't as clear! This is perfect summary!
292,"@g__j @octopus_energy @dougalshawBBC @BBCNews Right, so the current Dev/Dev Ops with flexible IT rather than the IT Crowd/ 2000s era static IT teams. Sorry, my original probably came across more arsey and flippant than I intended."
293,@octopus_energy @g__j @BBCNews I have found octopus online and telephone support outstanding.I was with the worst energy company you can imagine (they shall remain nameless green star oops)I had to get the energy ombudsman involved it was horrible so was very wary of energy co octopus have been outstanding 👏
294,@g__j @lynthearcher @evmanuk @octopus_energy @eddisonj So what happens when your remote working from home staff have issues (the whole gamut from not being able to connect at all to various vpn issues? )
295,"@BobbyNunn @AndySpence @g__j @dougalshawBBC @octopus_energy You can buy in all services in different ways without having to run an HR department. Even if you run them as freelancers, brokers, etc., they will be administered in some form. It's about cost-cutting, nothing else."
296,@g__j @octopus_energy Will listen in my cycle tomorrow 🎧 🚲
297,@octopus_energy I do think there is advantages to this : https://t.co/gsVGwLvOaL
298,"@trojax88 @bald_pig_cool @octopus_energy That's also how you get people in different areas buying products at different prices that do the same thing. Need overall strategy. If they truly have no IT Department, not even outsourced IT, I would be concerned."
299,"@JasonWaWa @g__j @RobACareerPsych @dougalshawBBC @octopus_energy My initial reaction was the same as others, wondering what his HR staff must think. 6 hours later, the producer of the podcast that I interview for (NOT 'my' podcast) said we're now looking to interview CEOs, so I figured the perfect opportunity to explore what this really means."
300,"So far switching to @octopus_energy  has been extremely stressful and it’s not even complete, I’ve had my account deleted/ reactivated/called the wrong name/ deleted again and I’m now waiting to hear if the “customer service” person is going to not re-deactivate my switch"
301,"@JasonWaWa @g__j @RobACareerPsych @dougalshawBBC @octopus_energy HR discussion forums have lit up as a result of the interview, all with the same comments, 'he says he doesn't have a HR dept but he employs HR people, what does that say about them?' Even the CIPD's CEO has taken issue with it. I think it's worth finding out more."
302,"@bald_pig_cool @octopus_energy I read the article this morning and thought ""that won't end well"". 

Apparently he's all about empowering his managers to take the lead on things. That's all well and good until you have a major security breach and none of the managers have half a clue how InfoSec works..."
303,@JasonWaWa @g__j @RobACareerPsych @dougalshawBBC @octopus_energy I'm not really sure how that's abuse...
304,"BTW.. those interested in @octopus_energy today may find our podcasts interesting... #shamelessplug #actuallymaybeinteresting 

https://t.co/cjtE5xXQ4Y"
305,@g__j @genius_learning @RobACareerPsych @dougalshawBBC @octopus_energy Other CEOs might have responded with emojis of legumes by now. But that would be ...... disrespectful.
306,"QQ @YourSSE is the best way to get a good service and my meter made safe to move away from you to  @BritishGas @octopus_energy @npower or do you have a preference? And by the way, whilst you may be in the @OVOEnergy family, they seem a bit embarrassed to have you 😢"
307,@genius_learning @g__j @RobACareerPsych @dougalshawBBC @octopus_energy What an unusual strategy for getting someone to appear on your podcast - abuse them and first and then invite them. I know that Boris Johnson said yesterday “all that journalists do is abuse people” but I’m not sure that he meant to be take *quite* so literally.
308,Uhhhhhhh seriously considering leaving @octopus_energy. Leaving their employees to fend for themselves against the whims of their managers? Teaching them 'self reliance' in the same way you remove passenger seat belts because the driver has 'personal responsibilty'. https://t.co/yDqE7YyyDS
309,"@solarnumber @energystatsuk @octopus_energy That’s 2 weeks away , ( a lot can happen ) no forecast is that accurate."
310,@Michael32930248 @energystatsuk @octopus_energy Ok on March 9 we have no sunshine and only 8 mph winds that's when the price will be very high https://t.co/CB0TnXgqgK
311,"@MsTinaPoole @evmanuk @octopus_energy @g__j Never. From my 40+ years IT experience, computers make more work in many ways, and less in others. (I absolutely love them though!) Have you noticed how many younger people are so very nervous using them?"
312,"@lynthearcher @evmanuk @octopus_energy Hey Lyn - I mentioned IT too. Again, we have a massive tech function led by cofounding CTO @eddisonj but not traditional desktop support..."
313,"@evmanuk @octopus_energy @g__j Are you thinking HR is the same as IT, EVM - cos it isn't. Or are you seeing this from a different angle. I did whizz through the article so may have missed summat."
314,"@evmanuk @octopus_energy @g__j Eventually the IT will do away with almost all of us and then peak efficiency will be reached,
but many of us will be destitute.
#progress"
315,"@genius_learning @RobACareerPsych @dougalshawBBC @octopus_energy I mean, it doesn't feel like we've got off to the best of starts but I'm up for a look... can you send me details of podcast? thx"
316,@octopus_energy @nickjrees @ofgem Thanks for the reply! I've looped in the issueresolution@octopus.energy team to the mail thread I had ongoing with your customer services rep!
317,@SimonApperley @OhmeEV @octopus_energy I'm expecting it to save me a bit of money over time when I can eventually get onto Go or Agile but it's initially the convenience that I'll be getting.
318,"@SimonApperley @OhmeEV @octopus_energy Yup. Got mine with my switch so was cheaper. Partly seeing it as adding convenience of a tethered cable. Not too much of a bind to go to the boot, get the cable out, plug in, then put it all back in the morning but tethering saves fair bit of time. Plug in and forget."
319,"Interesting BBC article about @octopus_energy and @g__j 

No I.T. Department?
That's interesting for me. As an I.T. Company, we did away with managers! 😁
20 years on, it's been far more efficient! 😉

https://t.co/XkYO9FP6En"
320,@Grahame_Case @energystatsuk @octopus_energy Nice.
321,"@fjjariego @g__j @octopus_energy @BBCNews But then, companies do nothing by themselves.
Do we have that tendency ingrained?"
322,@DJBurges @energystatsuk @octopus_energy Soon as lockdown eases it’s another 1.4kWp being added to the house and a second Powerwall
323,@Grahame_Case @energystatsuk @octopus_energy Yep that too - got to love solar.
324,@DJBurges @energystatsuk @octopus_energy Looking forward to more self generation creeping in too - the 2 MegaWatthour months I’ve had lately have been a bit painful
325,"@Grahame_Case @energystatsuk @octopus_energy yep, as spring creeps inexorably towards us, so falls the Agile prices. Won't be too long before those 4-7pm peaks come down too."
326,"Rob’s a great example of @octopus_energy’s approach. A Harley St specialist in helping with stress, who’s run multiple sessions for our team... and not just senior managers but everyone we employed at the time. Really proud of this (and can’t recommend Rob highly enough) https://t.co/LwJSyEzKgw"
327,"@ash_woodruff @Gillmassey8 @dougalshawBBC @BBCBusiness @octopus_energy It’d be quicker to read my comments on this thread! We have someone fab with an HR title from an acquisition, and some great recruiters and trainers but no HR dept, no HR director etc... hope that clarifies"
328,@energystatsuk @octopus_energy Glad to see we are getting more normal pricing back
329,Looking at jobs available at @octopus_energy &amp; this is amazing. I’ve worked for so many ‘managers’ who just love to spend their time trying to catch out staff on the smallest thing. No quicker way for staff to lose interest in the company they work for #BeMoreOctopus https://t.co/yDTluRpivT
330,"⚡️ Just switched energy to @octopus_energy, here's hoping @YourSSE act appropriately as I'm still waiting on a bill that was supposed to be sent 4 months ago!"
331,"@octopus_energy @g__j @BBCNews Awesome! Thanks, I’ll have a look!"
332,"Really interesting insight from @g__j on BBC News. Unlike others, my takeaway *wasn’t* that Greg thinks HR functions/departments are inherently bad; just that they don’t work for @octopus_energy. Sharing experiences of different approaches is valuable. https://t.co/uxfejDSwE7"
333,"National average pricing for @octopus_energy Agile Tariff on Thu 25-02-2021

Min: 5.9p (02:30)
Max: 32.9p (18:00)
Average: 12.7p
Av Excl Peak: 10.4p
Cheapest 4hrs: 6.6p
Peak Time (1600-1900): 28.3p

Find graphs &amp; pricing for all 14 UK regions via https://t.co/mnmMP2lfQX https://t.co/LRI5iFiyoA"
334,@birdmaps @octopus_energy Hey Liz... we deffo drop the ball sometimes but let me see if I can help.. if you DM me your details we'll get on it pronto
335,@awjbisme @OhmeEV That one which goes in to existing type 2 socketed wall charger? Wondering whether to get one with @octopus_energy - but not driving for work ATM so pay off would be a very long time.... compared to existing scheduled charging
336,"There is a tendency for large companies to ""infantilise"" their employees and ""drown creative people in process and bureaucracy"", says Greg Jackson @g__j (love the handle 😀), founder of @octopus_energy, via @BBCNews https://t.co/obSTUib5bL"
337,@oddbin @octopus_energy @dougalshawBBC @BBCNews Hey Dave.. we have an outstanding tech function with about 100 brilliant developers etc worldwide and is the bedrock of us as a tech company (I used to write code too but am no longer allowed). We don't have a traditional desktop support function but we have fantastic tech folk
338,"Greg Jackson is the founder and CEO of @octopus_energy,  says his company has no HR department.

#HR
#HumanResources
#EmployeeRelations
@cipd
 https://t.co/t10eHX8mSC"
339,"@RobACareerPsych @genius_learning @dougalshawBBC @octopus_energy Cheers Rob.. the training you have given our team is outstanding btw, and it's a privilege to be able to bring talent like yours in. Thank you"
340,"@octopus_energy @g__j @dougalshawBBC @BBCNews ""I don't believe in IT department""

https://t.co/NK4aXzi9o7

........

Not really sure why people say stuff that takes 30 seconds on google to dismantle."
341,@GrantAThomas @Tesla @octopus_energy @kay_rupert I feel your pain 😩
342,"@HibbsA @SpeakSarahSpeak @octopus_energy I'm with Co-Op Energy, who have merged with Octopus."
343,Does anyone of my twitter followers have @octopus_energy gas tracker? What have your prices been like?
344,"@octopus_energy Ironically I've just seen your CEO @g__j in the news today. His mgmt ethos sounds right up my street, but boring bureaucracy or not, if junior staff can't sort a tricky issue for sure let them take responsibility but only up to a point- clearly some cases need more experience"
345,@PilotsTogether please delete if not allowed. I spotted this in a post by my energy supplier @octopus_energy. In case it helps anyone who was made redundant. https://t.co/LeghrLRiCG
346,@great_twit @RobertoMoir @octopus_energy @BBCNews BTW... @eddisonj is said CTO and I'll ask him to help when I get your message :)
347,@great_twit @RobertoMoir @octopus_energy @BBCNews Drop me a DM and I'll have a look for you...
348,"@g__j @RobertoMoir @octopus_energy @BBCNews So if that's the case,  what actually happened to my meter install details between the installer,  the octopus logo'd van, and your system.  How can they go missing in the cloud ????"
349,"@g__j @RobACareerPsych @dougalshawBBC @octopus_energy OK then - I do the interviews for a podcast with a global business publisher and we are shifting focus slightly this year from heads of L&amp;D/HR to CEOs. Why not come on as a guest and share your experiences and insights, and I can ask you how this is different to having a dept?"
350,I’d love to learn more about how @octopus_energy works in practice with no HR team. I assume they use externals for everything they can and place the responsibility and workload with managers? I’m intrigued (and will admin slightly sceptical).
351,"https://t.co/Kl75V0d3o6 Reading this about @octopus_energy makes me thankful i don't use them. I'd never trust my PII and services with a company that doesn't invest in IT, especially security."
352,@g__j @RobertoMoir @octopus_energy @BBCNews A tech function is an IT department by different name. Putting it in the cloud is just a form of outsourcing. IT security is part of an IT department. Your company keeps calling me to switch but your interview convinced me 100% to never become a customer.
353,@genius_learning @RobACareerPsych @dougalshawBBC @octopus_energy They feel great cos they understand the difference between not having an HR department and not having brilliant people people in functions (see prev tweets) and I think enjoy being in a company which really puts people first
354,@RobACareerPsych @g__j @dougalshawBBC @octopus_energy I'd be interested to hear from his current HR staff on this. i.e. how do they feel about his comments?
355,"On the Texas incident: here the decision of @octopus_energy  regarding the one-time Bill Forgiveness Plan for all Texas customers. Energy costs were capped (ex-post) at average price of 12.2 c/kWh for any energy usage between February 13-19th 

https://t.co/a3Y6qWuZxs"
356,"This story had a happier ending, probably thanks to @StopFundingHeat and @Octopus_Energy  

https://t.co/1TLrUyU8YZ https://t.co/BbvRRH73mk"
357,@octopus_energy @g__j @BBCNews Who is mentoring your team to support and stand up for their teams? That isn't a skill set most folks are born with.
358,@genius_learning @g__j @dougalshawBBC @octopus_energy I have first-hand experience of working with Greg and disrespectful is literally the last word I would use to describe him.
359,@octopus_energy I have just sent you a DM. Thank you.
360,"@octopus_energy Thank you, maybe the portal needs 50p in the meter 🤐"
361,"@octopus_energy @RobertoMoir @g__j @BBCNews OK, the IT department would be the ""tech team."""
362,@jowalkersmith @octopus_energy @LTE_Max @KetanJ0 @TheWrongNoel Basically
363,@TomH_Analyst @Steward_T @ofgem @octopus_energy Totally! I was actually using your message as opportunity to preach to twitter! 🤣
364,"@g__j @Steward_T @ofgem @octopus_energy You're preaching to the converted, so makes it a good place to leave our convo - very interesting, thanks.

(For clarity though - I was referencing intentional loss leaders vs loss makers!)"
365,"@g__j Indeed. 
From what I’ve seen of @octopus_energy it’s a really exciting place to be and huge talent. 

Thanks for sharing. And well done for creating another British 🦄 
I hope those job applications go well"
366,"I signed up to these people only yesterday.

No response to email. No response on Twitter. Three times to get through to customer service on the phone, then I get cut off.

Sorry, @octopus_energy but this is not good enough. 

No new customer."
367,@octopus_energy Has the smart meter portal been fixed yet? I tried again last night out of curiosity and still get very slow loading then an error 😔
368,"@TomH_Analyst @Steward_T @ofgem @octopus_energy I mean, they're all loss leaders at the moment. Well, loss-makers. Because of the distortive sin taxes and poll taxes on green electrons there's just not enough dynamism. Sadly makes green transition more expensive for everyone, and slower."
369,"@octopus_energy Great, thank you. Just disappointed I’ve had to resort to “public shaming via Twitter” to get such a response."
370,@evconsumercode @NinaSkorupska @whatcar @zap_map @ZeroNetOfficial @lv Get @octopus_energy to pay you to do it.
371,"@g__j @Steward_T @ofgem @octopus_energy That's given me plausible brand saver for why I didn't know that - if it was an Ofgem thing, of course I would have known!

Yes, it would mean smearing of more peak elsewhere in the day - unless some ToU loss leader tariffs arise (wouldn't put it past some strategies!)"
372,"CEO Secrets: 'My billion pound company has no #HR department' https://t.co/f4rrph1WKm by @dougalshawbbc &gt;interesting approach by @g__j of @octopus_energy. There's lots of value gained from strategic HR, especially around employee experience &amp; talent mgmt. #EmployeeExperience"
373,@TomH_Analyst @Steward_T @ofgem @octopus_energy It's from us. We modelled it and chose a risk balance. Of course a lower cap would mean higher prices the rest of the time...
374,"@g__j @Steward_T @ofgem @octopus_energy I should really know this for many, many reasons, but is the £0.35p/kwh cap set by some regulation or is it a risk judgement from @octopus_energy?

If it is the latter, could we see a future competitive point to offer a lower cap?"
375,This is how to lead a business. Simple but effective management. Empowering employees to make decisions and to learn new skills. CEO Secrets: 'My billion pound company has no HR department' @octopus_energy  https://t.co/Ii57teSluS
376,"@dougalshawBBC @g__j @octopus_energy This article is really interesting.
As someone working in leadership dev, I think the premise is sound. And what Greg is saying is by being good people, culture and trust focused you don’t have to see a team as a fixable “human resource”
If you’ve missed that message it’s a shame"
377,An amazing &amp; supportive company to work for and such an involved and brilliant CEO more companies should be run this way great to see Greg at @octopus_energy in the news  https://t.co/ihVYPSzrZ6
378,@g__j @octopus_energy @BBCNews Appears that many others feel the same.... https://t.co/fTAE2FqfLt
379,@g__j @RobertoMoir @octopus_energy @BBCNews So accidentally misleading in the article or deliberately doing so?
380,@octopus_energy Hey guys - I'm in the process of switching to you and have tried emailing for support a couple of times over the last five days but I'm not receiving any replies. I'm trying to send my meter readings. I've sent the emails to hello@octoenergy.com - is that right?
381,"@The17thSecond @octopus_energy Yeah, I agree, my switch to @octopus_energy was pretty painless!  I've been with them a few years now and although I always look at (slightly) better deals when they come up, I prefer to stay with @octopus_energy because their customer service is usually excellent!!"
382,"@octopus_energy @LTE_Max @KetanJ0 @TheWrongNoel So you do have people that do IT functions. But because you call them the Tech Team your CEO can claim your company’s special? Bet you have people that manage recruitment, personnel management &amp; payroll even though you have ‘no HR’."
383,@RobertoMoir @octopus_energy @BBCNews We have an outstanding and massive and brilliant tech function headed by cofounding CTO. Unlike others we don't outsource it but take total responsibility. There's no desktop support function as everything in cloud but fantastic security professionals etc.
384,@g__j @octopus_energy @BBCNews Ah I did miss!!  Thank you for clarifying Greg.  So HR but no HR.  I'm with you 😁
385,"We've teamed up with our local #Brighton green/renewable energy company @octopus_energy 
If you switch supplier you get £50 back and @OTFBrighton receives £50 as well.⁠ Recommended as a supplier 4 years in a row by @WhichUK #Doingapowerofgood.⁠ Visit:⁠
https://t.co/LludVSNspg https://t.co/5GD1YpLgFO"
386,@octopus_energy @g__j @BBCNews Apparently you don't have an IT Team either and that is of massive concern to me as a customer. You have my data. Can someone at Octopus outline how my data is secured if no-one is responsible for the infrastructure it's running on?
387,@dougalshawBBC @g__j @octopus_energy @g__j You clearly have in-house IT and HR people. You're currently recruiting for many of them on the Octopus Energy website. https://t.co/5pHY0P75ap
