,tweet
183,"@DanielPriestley Not that I am aware of; but our new MBO program does. Launching this year with @mindvalley 

*MBO: Master of Business Ownership 

Administration is for employees."
184,"@iamranjanadubey @mindvalley Thanks Ranjana, and you too :) ♥️"
185,@pratibhamotwani @mindvalley Thanks a lot Pratibha ♥️
186,@jith_s @stats_feed According to @Vishen from @mindvalley it is full of sugar so actually not surprised now!😔
187,"Have you ever wanted to take a deep dive into the chakras? This comprehensive guide from @mindvalley is a great read to get started in understanding the power behind your chakras!

#chakraenergy #chakraalignment https://t.co/mNOwIHQeqy"
188,Switching from #zoom live  with #baronessbrendahale to zoom live with @MatthewMccon with @mindvalley - both as equally inspiring and thought provoking thank you @Vishen . My legal mind and my therapists' mind are in synch with the power of words and the power of action . ❤️
189,We are chasing yet...we never actually get there @McConaughey @mindvalley
190,"@BradRamanah @mindvalley @Vishen It’s one of the longer courses for sure.  But I did find each 20 mins or less a day, very enjoyable. Good luck with the rest of it 💪"
191,@RicZuckerberg @mindvalley @Vishen Working on it 🙌
192,"@upasanaray1 @mindvalley This is a big news! Congratulations, Upasana! Better things ahead 🌻"
193,"@upasanaray1 @mindvalley Congratulations Upasana!
So happy for you :)
Rise and Shine always 🌸☀️"
194,@Writer_Rishabh @mindvalley Thank you @Writer_Rishabh 🙏🏿♥️
195,@BeCureFit @JasonRBradwell @99designs @SproutSocial @Mailchimp @InVisionApp @OberloApp @Appinventiv @MindOrksNextGen @Groove @ConvertKit @Headspace @dribbble @mindvalley @intercom @unsplash We definitely love them 😍
196,"@upasanaray1 @mindvalley All the best, Upasana. Glad you are following your passion."
197,"Joining evercoach @mindvalley as a social media marketer this month. 

Jan 2021 was a roller coaster 🎢 what with my covid diagnosis &amp; my mother’s even serious condition.

But Feb’s starting on an exciting note!

Happy to join this journey now &amp; grow as a #marketer 📲"
198,"Meditation Hacks, Segment Intent, Creative Visualisation Tips, Quantum Jumping and Heart-filled Goal Setting. Great course completed and applied!. @mindvalley @Vishen 🙏 

#selfhelp 🧠 💪 https://t.co/ntu85qfya2"
199,"I just completed day 30 of Be Extraordinary. What a journey! Thanks @Vishen @mindvalley 

https://t.co/J92owDk2cD https://t.co/1WjajZ0mRW"
200,"Work on your weaknesses is complete B.S😒

STOP Trying to be a jack of all trades and a master of none

Focus on what you're a master at THEN find a team that can handle the rest
⬇

https://t.co/bw9MWOur6k

@DanLokofficial @russellbrunson @realjimedwards  @mindvalley #leadership https://t.co/UXOVXXlIdW"
201,"Money should not be the focus when entering an entrepreneurial venture.

You should join or start a company to fuel your passion and love for the solution you are providing.

Listen to my @mindvalley podcast here: https://t.co/zQeeFjcMrn https://t.co/zp8r9jLkja"
202,"Nice! Thank you @JonyG2X ! I don't know for @Fast &amp; @mindvalley  but our continuous offering @FairmintCO  will restart very shortly. 
Stay tuned! $FAIR is getting stronger and stronger 🚀

@Fast &amp; @mindvalley : happy to help anytime turning your stakeholders into owners 🤗 https://t.co/pC1HgQReRH"
203,“You are an avenue to dispense the divine gifts of abundance.” - @mindvalley
204,"Watch ""How To Double Your Learning Speed | @jimkwik"" on YouTube via @mindvalley
https://t.co/JKLd92wVoW"
205,"@mindvalley @MindGames  @mindgameslab 

https://t.co/2PhdgBTdaK
Here is a great video on pragmatic ways to rise above the dysfunctional mindset!
Do watch *Stable Minds Ke Khiladi : Cognitive Psychology Experiments* 

*Ep2- Mann Ke Jeete Jeet* #mindgame
🤳 https://t.co/2PhdgBTdaK https://t.co/xaLObnmlNa"
206,"I have completed A New Way of Relating to Money  on Quests by Mindvalley.
https://t.co/VBXsFS63mZ ⁦@KenHondaHappy⁩ ⁦@mindvalley⁩ https://t.co/28RXi1djsM"
207,Pick three private companies you wish you could invest in? Companies I wish I could invest in: @FairmintCO @fast @mindvalley #startups #venturecapital
208,@KiwisMedia @JasonRBradwell @99designs @SproutSocial @Mailchimp @InVisionApp @OberloApp @Appinventiv @MindOrksNextGen @Groove @ConvertKit @Headspace @dribbble @mindvalley @intercom @unsplash We have some blogs which will get you moving! https://t.co/IPk4toELpK
209,"I have completed What Makes Muscles Grow on Quests by Mindvalley.
https://t.co/Orv0jk24o0
⁦@mindvalley⁩ https://t.co/o128948vlz"
210,@KuzmiczPatricia @Vishen @mindvalley Much love Patricia. 💛😊 #Believe - Dondon
211,"""Conquer The Brain""
- @jimkwik 🎓💪

Almost half way into all @mindvalley talks videos on Youtube.
Founder &amp; Conscious leader: @Vishen
🙏👏

https://t.co/bCmOUCXjqR"
212,IMAGINE a #SocialMedia platform designed exclusively for group healing intention (physical/mental/emotional). It could fuel a revolution in #consciousness by proving how powerful our thoughts/imaginations are! via @mindvalley https://t.co/mGJ9HY99pX
213,@mindvalley @McConaughey @Vishen What wisdom did you learn from reviewing your life that can be applied to solve any current crisis/opportunity the world is facing today?
214,@yana_stylesss They're good.. I loved all of them classes by @mindvalley
215,Meditation is a key to success.just did this https://t.co/Ci9GX5dlis thank you #vishen @Vishen and @mindvalley for this generosity.
216,"There's a really good course taught by @drmichaelbb on @mindvalley ""Life Visioning Mastery"" I encourage everyone to check out. There's also some great Masterclasses on the @calm app by @acton, @TamaraLevitt, Judson Brewer, Elizabeth Gilbert, Dr. Adam Alter, etc.
#manifest #life"
217,"What’s the biggest vision you have about yourself? Via @mindvalley @ Colva, Goa, India https://t.co/vuyrGnlLQZ"
218,The great Ken Wilber is on @mindvalley 🤓 i know a lot of people who will learn from this masterclass!!! (you know who you are) How to create an Integral Spiritual Life Practice | Ken Wilber | Mindval... https://t.co/BRqHcltiNC via @YouTube
219,"Money EQ with @happykenhonda at @mindvalley Quest beginning tomorrow #growth #happy #instagood @vishen @ Melbourne, Victoria, Australia https://t.co/CgU3ni95TC"
220,"Alkagizer Time! #evolutionbaby 
I just completed day 6 of WILDFIT. 
https://t.co/iIeuWn3A7y  
@EricEdmeades @mindvalley"
221,"Beginning to take control of my life after watched several @mindvalley vid's esp. Miranda Peers episodes.. i wish i can have the full access ... 
got to have it"
222,"#Saturdayvibe never said enough...be an agent of healing where ever you go @vishen @mindvalley join to learn how to grow, get inspired to live a fully expressed life by your own design :) here is Louise Hay talking about self love Thank you @EvanCarmichael https://t.co/2N3Dk46JV2"
223,"Vishen shares how he healed his eyesight
in just 2 weeks
from 20/40 to 20/25! 

Get checked by a real doctor (not a grocery store)

Get a lens that is one step lower
Not .5 myopia, but .25

Install eye chart in your home

Hire a vision coach

https://t.co/WauvGQq1dG
@Mindvalley"
224,"I know it’s raining heavily outside. 🌧 
I sit here on my sofa with my candles alight, my salt lamp on, and the bubble lamp starting to think about melting, as I feel very grateful for this dawning Saturday. What does your day look like? #kisses #saturday #mindvalley @mindvalley"
225,"Let the magic begin with @mindvalley @mindvalleyaustralia thank you @vishen @ Melbourne, Victoria, Australia https://t.co/SU7WEHyaT4"
226,"@JV2210 @adventago @DanLokofficial @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler Hi, waves from Daisy :D   the amount of time autocorrect has gotten it totally wrong, and you hit post and see it at the last minute.  All for delete and repost, fingers crossed no one saw ;)   Have a lovely weekend 🌼"
227,"@mindvalley @jimkwik @KwikLearning 
Am on Day 5 of the Mindvalley Speed Reading course.
I was practicing reading with my English Literature Book aimed at finishing a chapter in 10min.
At sharp 3:00 left, the chapter ended.
Day 1 - 110wpm
Day 5 - 230wpm😍
The whole syllabus soon."
228,Thank you @mindvalley for being the bridge of this beautiful friendship &lt;3
229,@WordsWali @mindvalley They're everywhere!
230,"I have completed Week 1 - Day 5 (Friday) on Quests by Mindvalley.
https://t.co/E2PGoIfu5b ⁦@EricEdmeades⁩ ⁦@mindvalley⁩ https://t.co/RAeKSZLWV0"
231,The amount of money @mindvalley has spent on me via Youtube Ads. They could have practically made it free for me. 😓
232,"3ème édition de la newsletter Équipe de Choc 🔥
On y parle recrutement et on approfondit les pratiques inspirantes et parfois décalées de @mindvalley, @Fitzii ou même @zingermans pour attirer les meilleurs talents !
https://t.co/yc2qMEWjNI"
233,"This was such a great conversation that @jasonmarccampbell and I recorded twice! But really, a thoughtful conversation on making change through building #grit and making a difference. @mindvalley https://t.co/yoAQ2SLm0X https://t.co/1FyteF377J"
234,"Learning and applying executive peak performance into my daily productivity by Steven Kotler.

Best online course I've ever purchased by @mindvalley 

Level up the mind, level up your life."
235,"@luisotravz @mindvalley @jascampbell17 1. Start saving everything you want to read/watch/listen to to a read later app like Instapaper or Pocket
2. Start using @readwiseio to save your highlights in books/articles to Evernote
3. Take other notes of things you find interesting or potentially using the mobile app"
236,@fortelabs @mindvalley @jascampbell17 What would a lean approach to getting started with building a Second Brain look like?
237,"I'm going to be interviewed soon on the @mindvalley  podcast Superhumans at Work, with @jascampbell17

What would you like to know about online education, building a Second Brain, or anything else?"
238,@mindvalley @Vishen 🤍 I just said this to a #Consul in training today. So many #confirmations in my field today! I’m #grateful for our #entanglement! #Beneficia 🤍 https://t.co/QbedDgsMHl
239,"Today's message is Peace with a Purpose
Collective Message B33 Peace with a Purpose/The Dolphin Bottle https://t.co/zFvZoXV6Ya via @YouTube 

#spirituality #spiritualawakening #spirituallessons #meditation #Chakras 
@DeepakChopra @TheEllenShow @Oprah @mindvalley @MeTooMVMT"
240,"@Davos @PwC Who agrees that #upskilling and #reskilling are essential to adapting to the changing workplace, especially for #YoungProfessionals? 

@wef @PwC @mindvalley @AIESEC @enactus @theCareerFnd @UbiquityU @kellyalovell #WEF21 #DavosAgenda #Agenda2030"
241,"I have completed Week 1 - Day 2 (Tuesday) on Quests by Mindvalley.
https://t.co/E2PGoIfu5b ⁦@EricEdmeades⁩ ⁦@mindvalley⁩ https://t.co/9zTZrzGMeE"
242,@mindvalley @EricEdmeades I'd put 5 and 6 together as a healthy diet and add #6 sleep
243,"The Pure Peace Mermaid Refresh Meditation is now live on Insight Timer...

https://t.co/8dhkWggzMx

@InsightTimer @Vishen @mindvalley @HH_Meditations 
#meditation #meditationmusic #meditate #Mermaid"
244,"I have completed The Big 6 Routine on Quests by Mindvalley.
https://t.co/Orv0jk24o0 ⁦@mindvalley⁩ https://t.co/HIKVVsnTF9"
245,"Just started my latest @mindvalley course. I just LOVE this learning platform!
Getting the learning / growth lined up for 2021! 💥💥
#alwayslearning"
246,"Take charge of your life and don't let anything hold you back.  

Loving the various courses from this company @mindvalley

Take a look via their Instagram &gt;&gt; https://t.co/VzpLWNrqMC

#positivemindset #mindvalley #motivation #mondaymotivation #positivity"
247,@Vishen @mindvalley what happened to the Mindvalley masterclass YouTube page? I was in the middle of watching one of them and then it seemed to have gotten deleted. #mindvalley
248,Starting an eating program today that's going to transform my life and help me lose my lockdown body! So excited 🙌🏽 @GetWildFit @EricEdmeades @mindvalley
249,"@teach_band @missfliegelman @rosanne_coury @NicholasFerroni Can’t be beat kids choosing #blissipline over #discipline, I love @mindvalley for that terminology. I was also that kid who did the 23/25 min, it was great to see my teachers reaction. #BoundaryTesting- are you going to ask me why or just call Home? Sometimes I can’t sit still!!!"
250,"Hi @mindvalley I'm trying to change my starting date for 10X but I'm stuck on the page that says ""are you sure you want to change your starting date?"". Can you help? Thank you!"
251,"@denisebuchman @mindvalley @Vishen Sounds wonderful... and inspiring, Denise!"
252,@AwakeningTrue I just did a 2 hour workshop w @mindvalley lead by @Vishen yesterday I needed a blueprint I have one now w 8 steps I finally have something to free me my mind to then forgive myself first then others 🦋
253,"When you train your brain...

""You're not just getting into the flow at that time... you are also training your self [brain] to be able to get into the flow more easily..."" ~ @steven_kotler 

@mindvalley 

#Biohacking
#Health
#Fitness https://t.co/LhdKCRCx4O"
254,"Transient Hypoprefrontality

How do you Flow?

""There are no short cuts; just getting your biology to work for you rather than against you""

Excellent talk from @steven_kotler

https://t.co/iEbiX0ZZKy
 
NOTES: Clear Goals, Manage Focus and Distractions

@mindvalley
#Fitness"
255,"@adventago @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler Oops, no there isn’t, I was mixing it up with Instagram. But you can always delete a post if you see you’ve made a mistake, and re-write it."
256,@adventago @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler You can start by editing your own Tweets before posting 😉🙏😂 And I can go back in to my Tweets and edit them. There’s a Delete or Edit option 🙏
257,Stumbled across @mindvalley from his podcast and then came across 2 Excellent masterclasses from @bengreenfield and @EricEdmeades there.
258,"10x Day 7 Rest Day #reflection 
Thank you @ronandiegoinsta @mindvalley 
#personaldevelopment #lifestyle @ Melbourne, Victoria, Australia https://t.co/1CE0p3UrDf"
259,"Super Reading Quest Completed
Thank You @mindvalley @jimkwik 
#personalgrowth #evolution @ Melbourne, Victoria, Australia https://t.co/JuJ1bskkjr"
260,"I have completed Building A Reading Habit and Q&amp;A with Jim on Quests by Mindvalley.
https://t.co/9x3eI205Fa #superreading #jimkwik #reader ⁦@mindvalley⁩ https://t.co/1PD4KPaBJ4"
261,"The Pure Peace Mermaid Refresh Meditation just went live on Insight

https://t.co/8dhkWggzMx

@InsightTimer 
@Vishen @mindvalley @HH_Meditations 
#meditation #meditations #meditationmusic #Mindfulness"
262,"Courage is never the easy thing to do. 
Follow ➡️ @justgetupwithisaac 
#quotes #instalike #courage #follow #explore #photooftheday #truth #comment #bookstagram #readersofinstagram @goodreads @schwarzenegger @mindvalley https://t.co/7GxqVoq6v7"
263,"@JV2210 @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler Man I wish you could edit tweets that would be awesome !!!

:)"
264,@adventago @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler Easily done I guess. 😂 Always worth editing Tweets before posting them. 😉🙏Autocorrect gets it wrong frequently. May be what happened. #twittertips #grammar #spelling #proofreading #editing
265,"@JV2210 @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler LoL maybe he is🤣

 since I didn't even write the quote

It already was written like that 

So I simply copy and pasted it"
266,@adventago @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler It is a great quotation but it should’ve been “owe” not “own”. Unless he’s rubbish at grammar😂!
267,@mindvalley I am very angry with my hurtful feelings and I need it.  how do I linked in? thanks
268,@mindvalley hi can not get on your forgiveness live training eventw
269,@MindOrksNextGen @JasonRBradwell @99designs @SproutSocial @Mailchimp @InVisionApp @OberloApp @Appinventiv @Groove @ConvertKit @Headspace @dribbble @mindvalley @BeCureFit @intercom @unsplash We have got respect for you for what you are building for the community ♥️
270,"The Golden Earth Divine Heart Activation just went live on Insight :)
https://t.co/At6VMN4Woy

@InsightTimer 
@Vishen 
@HH_Meditations 
@mindvalley 
#meditation #MeditationMusic #Mindfulness"
271,@KiwisMedia @JasonRBradwell @99designs @SproutSocial @Mailchimp @InVisionApp @OberloApp @Appinventiv @Groove @ConvertKit @Headspace @dribbble @mindvalley @BeCureFit @intercom @unsplash Thanks for the mention 🙏
272,"In this episode, Kshitij Minglani, the Co-Founder of @mindvalley talks about hiring strategies that attract talents who crave growth, doing away with emails, and making non-delusional decisions https://t.co/fxpDXZXO3c #podcast #listennow"
273,"I have completed 5 Levels Of Reading on Quests by Mindvalley.
https://t.co/9x3eI205Fa
⁦@mindvalley⁩ @mindva https://t.co/xgzi0OnpaS"
274,@InVisionApp @JasonRBradwell @99designs @SproutSocial @Mailchimp @OberloApp @Appinventiv @MindOrksNextGen @Groove @ConvertKit @Headspace @dribbble @mindvalley @BeCureFit @intercom @unsplash We just love your contents 😍❤️
275,@KiwisMedia @JasonRBradwell @99designs @SproutSocial @Mailchimp @OberloApp @Appinventiv @MindOrksNextGen @Groove @ConvertKit @Headspace @dribbble @mindvalley @BeCureFit @intercom @unsplash Thanks for the mention! ❤️
276,"Don’t start a business for the reward. Do it for the journey, learning process and your love to create.

Listen to my @mindvalley podcast episode here: https://t.co/zQeeFjcMrn https://t.co/QQLUC2hs3U"
277,"There are tons of false representations of Entrepreneurship on social media and in the media today.

You need to love the journey to get to the reward. You won’t get to the reward solely focused on the potential financial gain at the end. @mindvalley 

https://t.co/zQeeFjcMrn https://t.co/9rdmCBVUuk"
278,"@JasonRBradwell There are too many we love reading
@99designs
@SproutSocial
@Mailchimp 
@InVisionApp 
@OberloApp 
@Appinventiv 
@MindOrksNextGen 
@Groove 
@ConvertKit 
@Headspace 
@dribbble 
@mindvalley 
@BeCureFit 
@intercom 
@unsplash"
279,"Learn more about how ruthless consistency is the key to business success by listening to my recent podcast episode with @mindvalley @jascampbell17.

👉 https://t.co/vkas6q6qSD https://t.co/39Z6JKHSU3"
280,"@JV2210 @DanLokofficial @DarrenHardy_Fan @DARRENHARDY @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @jimkwik @steven_kotler I remember hearing that quote on YouTube by 

@DanLokofficial 

I thought it was pretty cool to share with others

:)"
281,"“Two flints make a fire” ~ came across this Louisa May Alcott quote on @mindvalley blog today &amp; it made me think of us ♥️🔥

Question: would you work with your romantic partner &amp; why? 

#powercouple #indiemusicscene #mindvalley #IndependentArtists #musiclovers https://t.co/RcInuGy34i"
282,"I have completed Reading Technical Information on Quests by Mindvalley.
https://t.co/9x3eI205Fa
⁦@mindvalley⁩ ⁦@jimkwik⁩ https://t.co/NliLpi3dqi"
283,"Why is everyone judging themselves or someone else?

Don't they have work to do?

Does this happen in every country, or is it more here in India?

@mindvalley @jordanbpeterson @sid_warrier @BeerBicepsGuy, Please clear my doubt."
284,@mindvalley Nice perspective👌👌👌
285,@mindvalley Is there (or here https://t.co/CnHJ3eqBs6) any remote work opportunity?
286,I wake up at 3am to do stock stuff and homework. But instead of homework I work on @mindvalley Lifebook to learn myself as a person. Knowing me&gt;Geology
287,"@mindvalley I very much interested in working &amp; joining Vishen""s team. But I am located in India. Still I will upload my resume. I am willing to take a chance to interact with vishen through interview channel😉"
288,@mindvalley @Vishen All spiritual leaders speak of forgiveness &amp; guide number of ways to overcome the past. but in reality did everyone of them were really able to forgive? or just because they reach liberalization or higher consciousness we concluded that they forgive everyone in their past🤔
289,"The Divine Dreams Secret Forest Meditation just went live on Insight.
https://t.co/7adz5s08Iz

@HH_Meditations @Vishen @mindvalley 
#meditation #meditate #meditationmusic #Mindfulness"
290,@adventago @DanLokofficial @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @realjimedwards @copywritingtips @CopywriterRSP @WrittenByBeck @MadFunnelHacker Having a great sales copy is the key!
291,"@mindvalley @jimkwik A Course in Miracles 👇 #ACIM 

https://t.co/VLfHFk3TKd"
292,"@mindvalley Engaging @MichaelCohen212 has proven to be most challenging when it comes to forgiveness. 

https://t.co/NbF8VX1hnF"
293,"My future goal is to be as happy as @garyvee in my adult life and help people like @mindvalley and @Vishen.

Any tips you guys?"
294,"@juvoni Oh man, I literally did a 30 day Rapid Transformational Hypnotherapy course from @mindvalley to reprogram my brain"
295,@mindvalley why is your customer service so slow. I paid for unlimited abundance and it doesnot show up in my programs and it has a 15 day refund policy. But your customer service will take 48 hours to reply. this is crazy!!!
296,"@KishlaySays @mindvalley Great question Kishlay. “Delegating to Develop” is a practice to delegate an activity that’s part of your work as a leader to give an opportunity for someone on your team to develop, gain exposure, and experience doing the job of their boss."
297,"@Vishen Hi Vishen,
I have made all @mindvalley videos searchable to exact minute in discussion at 
https://t.co/mPpGwOp1M2

I am sure this will be super helpful to your users.
#AI #videoSearch #semantic"
298,"@EstherAAyorinde @mindvalley what do you mean by ""Delegated to develop someone"""
299,"@mindvalley @JoePolish Hi MindValley,
I have made all your videos searchable to exact minute of discussion.
Now one can ask anything and get amazing answers directly.
https://t.co/mPpGwOp1M2"
300,This Is How Energy Healing Can Transform Your Life via @mindvalley https://t.co/c0tbvv9Kwb
301,"Japanese Writer Ken Honda quoting 
Billionarie Wahei Takeda 

His Secret to Wealth?

Arigato (thank-you/appreciate) your money 

(Similar to a Christian's, Praise Jesus)

https://t.co/Z9bz9Q5seO
@mindvalley"
302,@Vishen @mindvalley True
303,@Vishen @mindvalley Yes I am adding this to every description of myself everywhere.
304,"I have completed Muscle Soreness on Quests by Mindvalley.
https://t.co/Orv0jk24o0
⁦⁦@MVInsights⁩ ⁦@mindvalley⁩ https://t.co/5H9OalsFQt"
305,"I have completed Changing Your Internal Dialogue On Sugar on Quests by Mindvalley.
https://t.co/keQl5bAhLd 
⁦@mindvalley⁩ https://t.co/SYvKXi76xo"
306,"I have completed The Importance Of Brain Breaks on Quests by Mindvalley.
https://t.co/9x3eI205Fa
⁦@jimkwik⁩ ⁦@mindvalley⁩ https://t.co/4FFgHRj269"
307,"@DIYMarketers @Bizapalooza @mindvalley Ive read The Power Of Your SubConscious Mind a long time ago. 

#BizapaloozaChat"
308,"@mehulgohil @Bizapalooza @mindvalley Well, I've read a lot about Law of Attraction and some friends recommended Abraham Hicks - https://t.co/LFlovg6hky When I first read about it - I was like ""?????""

But then I got hooked.

It takes some getting used to

#BizapaloozaChat"
309,"@DIYMarketers @Bizapalooza @mindvalley I wasn't. Why would I ?

#BizapaloozaChat"
310,"@mehulgohil @Bizapalooza @mindvalley Don't laugh at me -- because this is REALLY out there -- but It's something that I love listening to

https://t.co/XV168ZOkpM

#BizapaloozaChat"
311,"@DIYMarketers @Bizapalooza @mindvalley Pls share links. 

#bizapaloozachat"
312,"@mehulgohil @Bizapalooza @mindvalley I was listening to some Law of Attraction video on YouTube and realized that I CHOOSE how to experience my day and my work

WHY would you choose to make it a drag? Doesn't seem logical.

I am so lucky to have clients who I can serve - and I'm appreciating that. 

#BizapaloozaChat"
313,"@DIYMarketers @Bizapalooza Tell me more. WAs it via one of @mindvalley 's courses?

#BizapaloozaChat"
314,Thanks @Vishen @JackCanfield @mindvalley
315,This Is How Energy Healing Can Transform Your Life via @mindvalley https://t.co/c0tbvv9Kwb
316,"3 way to turn negative energy into positive energy. 🌠

credit : @mindvalley https://t.co/fcqxYQ5SFD"
317,@EstherAAyorinde @mindvalley 1.  Faith.   2. Love   3. Thoughtful planning
318,What a beautiful voice  @sahararose @mindvalley 🙏🏽 https://t.co/iUjyntfFM9
319,"Happy Saturday! subscribe, like, and share the message. 
Most of all #embracethemoment 
Collective Message - Communicating with Light https://t.co/b4UImuBl65 via @YouTube 
#MeToo 
@Dccfalumni @DCRCOC @HudsonValleyMag @HVWiB @EckhartTolle @mindvalley @Oprah @TheEllenShow"
320,@EstherAAyorinde @mindvalley Having a closer relationship with my wife and son. Waking up without fear for the day. Reflecting on my actions and holding myself accountable for my behaviour. A willingness to improve myself. Serving others.
321,@NicholasM1 @mindvalley Amen to that. What are you grateful for today my friend?
322,@EstherAAyorinde @mindvalley Gratitude lists really help with getting out of your own way and take you out of self.  Cultivate gratitude by being in service of others.
323,"Happy Saturday! I’m 50% through a 30-day @mindvalley program called “Be Extraordinary” and a daily practice has been to list 3 things you’re grateful for. Mine?
1. Achieved a hard thing 
2. This mornings workout
3. Delegated to develop someone

What are you #grateful for today?"
324,"Social media only shows the rewards of running a successful business.

Don’t start a company for the wrong reasons.

https://t.co/U8dc9Hr60j

Listen to my full @mindvalley podcast episode with Jason Marc Campbell + check out my new Giraffe Selling course. $49/month until Jan. 19! https://t.co/0pqYTrw5zm"
325,"@AricKeyes Very true 

That's why I follow @mindvalley and @Vishen 

I highly suggest you watch this video about how they are going to rapidly change education for the world 🌎

The video is on Facebook 

Here it is 🔻🔻🔻

 https://t.co/CnEkLRRlCs"
326,"Morning all, just thinking about stocking up on candles, burning everyday all day 🔥👌🏽 one thing that’s always played on my mind is the tea light candles and the foil tray they sit in, they aren’t economical at all, we need to put our heads together @Mindvalley @Greenpeace"
327,"(1/) Rather than being lazy &amp; unproductive this MCO, it's a good time to start trying to create good habits.

Here are 5 effective tips for creating new habits I found from a @mindvalley podcast episode I listened to, by @Vishen and @JamesClear, the master of habit-formation. https://t.co/KwSOtbXaXj"
328,"Completed, was an awesome quest that has given me a strong base to practice and achieve mastery. 

thank you @jimkwik @Vishen @mindvalley https://t.co/K7BPH4DKmw"
329,@Vishen @mindvalley Finding new ways to be more efficient at any exercise or practice is always beneficial so long as it does not create a perception that one is dealing with an experience that is considered a problem. I think it is important to find the joy in the exercise.
330,An Easy Beginner’s Guide To Chakra Meditation via @mindvalley https://t.co/qaAtVKHS10
331,@Vishen Happy Birthday Vishen 🎉 Have an awesome year ahead 💐#Versatile #Intelligent #Smart #Happy #Extraordinary #Noble @mindvalley
332,@riyazi @mindvalley We will remember you with warm thoughts and memories. Best of luck Riyazi.
333,"I just completed day 29 of Superbrain. https://t.co/iIeuWn3A7y 

Thanks @jimkwik @mindvalley https://t.co/R7qRi1QGiW"
334,"What a ride this has been! A journey of growth and learning and beautiful friendships amongst a really amazing group of people.

Stay Awesome. @mindvalley 

It's time to take my leave to pursue the next step in my journey. I hope our paths cross again https://t.co/zvU8GtKLJl"
335,"Are you someone who spends a lot of time on their #personalgrowth BUT rarely ever sees the results you expect? If you are, this brand NEW Masterclass with @Mindvalley Founder, Vishen Lakhiani, is for you. Watch this Masterclass for FREE here: https://t.co/a8k7WpdYhs #selfcare"
336,"What are your thoughts on this? Don’t forget the “U” in Entrepreneur!

Click the link below to listen to the full @mindvalley podcast episode with Jason Marc Campbell.

https://t.co/zQeeFjcMrn https://t.co/C3zKZ5YJPc"
337,Awesome read 🙏 #growth #buddha  #badass  @Vishen @mindvalley https://t.co/xvPDUdpbVe
338,Happy Birthday @Vishen ✨ an incredible “thank you” to you man! The greatest blessing to the planet! Thank you for @mindvalley 💜❤️ Keep thriving! Mindvalley is the new normal! ❤️
339,"@WayneLiew @mindvalley Hi Wayne,
We feel that Mind Valley audience will absolutely love it and also benefit from it.
And it would be awesome for @mindvalley to provide such a cool experience to its users. 

It would be great if we could become a part of Mindvalley website experience."
340,@Vishen hey what happened to the Mindvalley masterclass YouTube channel? @mindvalley says it was terminated. I was in the middle of watching one of the videos!
341,@KishlaySays @mindvalley This is amazing!
342,"@mindvalley hey! I’m listening to the How To Unleash Your Inner Superhuman &amp; I really want to buy All Access, but I’ve had 2 bad tech  experiences and if there’s another, it’s over. I won’t listen. Any advice?"
343,"Hi @WayneLiew, we have made all the videos of @mindvalley searchable to the exact minute. 
Please have a look at : 
https://t.co/mPpGwOp1M2
https://t.co/V0lo0lTY1Y

#askAnything #AI #Videosearch"
344,"@Vishen @mindvalley Hi Vishen,
We have made all your videos searchable to the exact minute with AI at https://t.co/V0lo0lTY1Y
#AI #VideoSearch"
345,"https://t.co/rPGKmtWD5h
X MAN TRAIN BY
@mindvalley   Mentore

@jimkwik"
346,#RTT_Dreamweavers- #IAM #blessed that @mindvalley is providing  #resources to #support creating our own realities. “It’s is your paradigm that determines your behavior” https://t.co/bwVRTbPj6R… #Namaste #CollectiveEfficacy #MindValley #Blissipline
347,"@mindvalley @Vishen I just did the 5 min Silva meditation and I felt a download immediately 🤩🥰

This is incredible! I am shocked I've never heard of this before. I've done energy work and Mindvalley classes for years!!"
348,"@charliemorley1 @mindvalley When the sun rises again, it'll feel all the warmer..."
349,"No masks, no social distance, no fear of touching... interactive talks to packed out venues in countries which I could enter without a visa...😬🇪🇺😅 Them were the days!😍🙏🏼
Pic taken at @mindvalley in Croatia summer 2019 https://t.co/Tpv2xhMW3Q"
