 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
1480,"@Pratiks72490516 Hello Mr. Sharma, Kindly send an SMS as HSBCSM to 575750 from your registered mobile number so that we can fetch your details and send it to the concerned team to have this checked for you on priority. ^Nilesh",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
1481,@melissakimduah @Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson @HSBC_UK @HSBCUKBusiness We will see...,General,,,General,,,Junk,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',,,"London, England",,{'category': 'General',subcategory': 'General'
1482,@Bounce_BackLoan I think I've had the same experience. @HSBC appear to the be the best for people who aren't existing customers.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,GOOD REPUTATION,,bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Worthing, West Sussex",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1483,"*HSBC cuts 2020 global growth forecasts, led by much deeper EM decline. Cuts Brazil to -7.3% from -2.7%, Mexico to -9.0% from -4.5%, Russia to -6.1% from -1.5%.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1484,"@esKahn Nothing new. In US, HSBC got away with a fine for oversight on drug cartel money laundering. In this case, it is possible the defendant's promise to recover money that the gov would not be able to recover was considered more important than putting him in jail. Fund in off-shores",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Malaysia,,{'category': 'General',subcategory': 'General'
1485,@donuts_uk @freefrom_flower @HSBC Yea largely the same. Got business and personal starling account. I think you get 0.5% on personal savings over Monzo but that's a tiny benefit.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1486,@HSBC_IN sent,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
1487,We are done for the day and hope we were able to assist you with your all queries. Have a great weekend and see you on Sunday at 9AM. ^ZS,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,UAE,,{'category': 'General',subcategory': 'General'
1488,HSBC's updated 2020 global GDP forecasts. Pretty gloomy ... apart from China. https://t.co/vgrl3xKnkw,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Brasilia,,{'category': 'General',subcategory': 'General'
1489,"@CoinCornerDanny
  Whats your personal experience with this? From your point of view (not your exchanges). 
 
 I read about your HSBC closing your account.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Hull, England",,{'category': 'General',subcategory': 'General'
1490,@gentlemansb @Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson @HSBC_UK @HSBCUKBusiness Yes itâ€™s a a start... fingers cross Iâ€™ve been waiting a week and a bit too be told I missed the first batch and had to re apply,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, England",,{'category': 'General',subcategory': 'General'
1491,Hi @HSBC_Sport and @publicispoke you're in today's #CommunicateLens https://t.co/bFAMhK1y7c https://t.co/8oBFAbLO0F,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, England",,{'category': 'General',subcategory': 'General'
1492,@HSBC_IN Since it is an advisory and not mandatory I will not be using it .,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Bombay,,{'category': 'General',subcategory': 'General'
1493,@MumbaiPolice @HSBC @DCP_CCC_Delhi @CybercrimeCID @MumbaiPolice @UnionBankTweets account of Fraudster Rajender Singh Acnt No. 768602010000855 Mobile 81048 21773 @ICICIBank Fraudster Pratik Kumar A/c No. 008501507027 Mobile 97234 71504 Request police to 2 recover my money 2/2,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Riyadh, Kingdom of Saudi Arabia",,{'category': 'General',subcategory': 'General'
1494,"@HelmutPurpal Would you define HSBC as a non-commercial bank then?
 
 If you have a better idea on building up gold reserves rapidly, Iâ€™d like to hear it.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Newbury, England",,{'category': 'General',subcategory': 'General'
1495,@beachbum84w @TheWVB @RameezHaider13 @Bounce_BackLoan @HSBC_UK @HSBCUKBusiness No money for us yet :(,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,UK wide,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1496,WEEKEND is here! Hope you have plenty of fun plans to do. Thank you for today and see you Sunday morning at 9am. ^NA,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,"Cairo, Egypt",,{'category': 'Reputation',subcategory': 'Good reputation'
1497,"HSBC Lost About $200 Million in One Day on Gold Market Turmoil.
 
 #Bitcoin #gold #hsbc",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1498,@richard_battley @John_Stepek @MoneyWeek HSBC does not even ask if an applicant is aware they are about to lose their job in the near term. I've known someone rush to max out their mortgage just before they become unemployed.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,United Kingdom,,{'category': 'General',subcategory': 'General'
1499,@RameezHaider13 @Bounce_BackLoan @HSBC_UK Been waiting on HSBC since the 5th ðŸ™„ ... still waiting @HSBCUKBusiness #tumbleweed,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,HALO Portglenone,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1500,HSBC had been the worst credit card I've ever had...everything has gone wrong since day 1 and now they have misplaced a balance transfer ðŸ˜¢,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Reputation',subcategory': 'Bad reputation',misplaced a blance transefer(worst credit service),,"London, England",,{'category': 'Reputation',subcategory': 'Bad reputation'
1501,"@ThatBayes @freefrom_flower @HSBC I'm Monzo, so sent Ju in that direction. Same same though.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Portsmouth, UK",,{'category': 'General',subcategory': 'General'
1502,@melissakimduah @Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson @HSBC_UK @HSBCUKBusiness Oh ok... Well at least it's something @BarclaysBizChat do not even answer me and that's after over 30 years of banking with them,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, England",,{'category': 'General',subcategory': 'General'
1503,"@PeterNe21739709 Thank you for getting in contact Peter, BBLS is in reference to the Bounce Back Loan Scheme.
 
 You can find out more via this link :https://t.co/6XEMfMCECs
 
 Thank you. ^Nisha",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,London,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1504,@juliesmith472 I think you can pay cheques in with an online ap. You can with HSBC.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,East Suffolk,,{'category': 'General',subcategory': 'General'
1505,@gentlemansb @Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson @HSBC_UK @HSBCUKBusiness Apparently feeder accounts are taking 2 weeks,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, England",,{'category': 'General',subcategory': 'General'
1506,"Brazil 2020 GDP calls
 
 Barclays -3.0%
 Goldman -3.4%
 M Stanley -3.7%
 BNP Paribas -4.0%
 IIF -4.1%
 Citi, Itau -4.5%
 Govt -4.7%
 World Bank -5.0%
 IMF -5.3%
 UBS, Capital Economics -5.5%
 Asa Bank -6.0%
 Deutsche -6.2%
 JPM, Banco Fator -7%
 HSBC -7.3%
 SocGen -7.4%
 BofA -7.7%
 @bollemdb -10%",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Brasilia,,{'category': 'General',subcategory': 'General'
1507,@melissakimduah @Barclays @BarclaysBizChat @BarclaysUKHelp @MartinSLewis @BorisJohnson I actually spoke to a person @HSBC_UK @HSBCUKBusiness which was fantastic and are settling up a #feederaccount for me then I can apply for #bouncebackloans,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1508,"HSBC cuts 2020 global growth forecasts, led by much deeper EM decline. Cuts Brazil to -7.3% from -2.7%, Mexico to -9.0% from -4.5%, Russia to -6.1% from -1.5%.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Brasilia,,{'category': 'General',subcategory': 'General'
1509,@clairecircuit @Beau58907046 @fegan815 @Bounce_BackLoan @BritishBBank @StarlingBank I only applied to open a business account with natwest and hsbc feeder account. Apart from that just starling has my only business account. I'm not getting anywhere just banging my head against the wall,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Birmingham,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1510,@MumbaiPolice @DCP_CCC_Delhi Cyber Crime Complaint Acknwlgmnt No. 20804200018755/30-04-2020 Registered cnfrmd by Police @HSBC wrote letters 2 @UnionBankTweets Sending reminders but no response from Union Bank fr 2 wks @ICICIBank responded immdtly Fraud in UBI Mira Rd Mumbai 1/n,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Riyadh, Kingdom of Saudi Arabia",,{'category': 'Customer service',subcategory': 'Bad customer service'
1511,"Had a couple of Dm'ers last one a minute ago saying HSBC are phoning people up and saying their ""Feeder Accounts"" (Imaginary in my mind accounts not seen one yet) are going to take 2 weeks, just putting it out there, if you have had such a call please let everyone know.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1512,"@LordBikebot @geckobike After the HSBC ""scandal"" (it should have been far bigger and doomed the paper), the editors probably have a calendar reminder to publish an article once or twice a decade that goes against their advertising revenue.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Surrey & London,,{'category': 'General',subcategory': 'General'
1513,Hi @HSBC_UK your cheque paying in machine at your Surrey Quays branch isnt working - do you think it'll be back in service tomorrow?,Customer Query,,query,Customer Query,,query,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1515,HSBC lost nearly $200 million in a single day amid gold-market turbulence https://t.co/1d2q10dTHh https://t.co/CtvrzoLE25,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Enfield, London",,{'category': 'General',subcategory': 'General'
1516,@JPD07716836 @MartinSLewis @thismorning @itvMLshow First direct are the only digital bank not accepting new applicants and this again is due to its parent company HSBC Being overwhelmed during this time,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Birmingham, England",,{'category': 'General',subcategory': 'General'
1517,"More absolute bullshit from @HSBC_UK I've been assured there is a delay, but it's all being processed on a queue basis! Clearly not if people who applied after me are getting paid before me! Absolute morons! Sort your shit out. #bouncebackloan shambles!",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1518,"@HSBC_IN @HSBC_IN 
 Team, I'm not getting complete solution of my query i received a mail from your side they said contact cm care no which was not working from last many days i want the settlement of my issue asap as the due date are coming",Customer Query,,query,Customer Query,,query,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1519,HSBC BANK PLC UK Regulatory Announcement: Early Repurchase(s) https://t.co/Wg7J6BqTPM https://t.co/kYWaL6on1E,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1520,@HSBC_UK I am holding on the phone for customer services. Why can't you tell me what number I am in the queue or how long I have to wait. Please put this right...other companies have the tech to do this,CUSTOMER_SERVICE_ISSUES,,bad customer service,CUSTOMER_SERVICE_ISSUES,,bad customer service,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Ludlow, Shropshire, England Uk",,{'category': 'Customer service',subcategory': 'Bad customer service'
1521,@TheWVB @RameezHaider13 @Bounce_BackLoan @HSBC_UK @HSBCUKBusiness And ours too. Come on @HSBCUKBusiness,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,UK wide,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1522,Need to get an activation code and I am being told to call @HSBC_UK but in present coronavirus issue cannot get through. Is there any alternative?,COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'Covid19',subcategory': 'Covid19 impact'
1523,"#Ø´ÛØ¨Ø§Ø²_Ù…Ø¬Ø§Úº_ÙˆØ§Ù„Ø§
 Another man who was said to have sent about Â£850,000 to Shahbaz's family from Birmingham via HSBC was Mehboob Ali, a Lahore â€˜street hawker', who lived from taking tiny commissions from collecting old banknotes and changing thems into new ones
 @sherniBack https://t.co/SdMckMCRm0",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Ù¾Ø§Ú©Ø³ØªØ§Ù†,,{'category': 'General',subcategory': 'General'
1524,"@katiedotevans Hi Katie - it's best to reach out to Mortgage team themselves, as they'll have your profile ready and documents at hand. 
 
 Their # is 03458 500 633 (team is open Mon-Thu 8-9, Fri 8-6, Sat 0830-1600)
 
 Hope you get this sorted out soon! Thanks ^Mill",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
1525,"@RameezHaider13 @Bounce_BackLoan @HSBC_UK Lucky them, really chuffed for them. Now @HSBCUKBusiness it's my turn",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Northampton, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1526,"HSBC on Bajaj Finance.
 
 ""Financing needs set to rise as consumers and manufacturers
 push for â€œNo-cost EMIâ€ schemes; Bajaj Finance (Buy, TP
 INR3,700) is a top beneficiary.
 
 @datta_arvind sir your comments any in this? https://t.co/SMeUo5r3ZV",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Pune,,{'category': 'General',subcategory': 'General'
1527,@HSBC_UK Thank you so much! ðŸ™ðŸ»,GOOD REPUTATION,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,London UK,,{'category': 'Reputation',subcategory': 'Good reputation'
1528,@freefrom_flower @HSBC Starling bank is what you need.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1529,"@crslng Hi Chris - we weren't aware of any online banking issues around online access for Mortgages which are in process, hence I've raised this internally to be looked into. 
 
 Once I get any updates on this - I'll come back to you. ^Mill",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, UK",,{'category': 'General',subcategory': 'General'
1530,@LawOfBTC @Bounce_BackLoan @HSBC_UK Yes they were,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Manchester, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1531,@RishiSunak why are HSBC the only company offering feeder accounts? Even HSBC feeders are mythical. Shambles.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Stoke Newington,,{'category': 'General',subcategory': 'General'
1532,"Gleeson's record on the bench shows he's unafraid to push back against DOJ - see his reluctant approval of HSBC's 2012 $1.92bn DPA. 
 
 Judge Appoints Outsider to Take On Justice Dept. in Flynn Case https://t.co/hok1ImtqD4",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,London,,{'category': 'General',subcategory': 'General'
1533,@RJ41468213 @HSBCUKBusiness @HSBC @HSBC_UK Same here,General,,,General,,,Junk,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Stoke Newington,,{'category': 'General',subcategory': 'General'
1534,HSBC Downgrades Arcelik Anonim Sirketi $ACKAY to Hold https://t.co/NuOiNXQoE3,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1535,Carnival $CCL Upgraded by HSBC to â€œBuyâ€ https://t.co/w6WNpyVol9,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1536,Royal Dutch Shell Plc 21.2% Potential Upside Indicated by HSBC - https://t.co/XAQEOLSwv4 - $RDSA #Trading #Shares #Stocks #Ratings https://t.co/MZKoDKO2Kd,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1537,Carnival $CCL Raised to â€œBuyâ€ at HSBC https://t.co/WQKCkAAqC6,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1538,@RameezHaider13 @Bounce_BackLoan @HSBC_UK Were they existing business customers?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1539,@RameezHaider13 @Bounce_BackLoan @HSBC_UK ZERO movement on Santander.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1540,"Hope for HSBC'ers at last, still a lot of you out there but hopefully you can finally see some movement. https://t.co/QPeDJKCP31",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1541,@HSBC_UK Hi Sam thank you for your response. I do fully understand but know many people have received their paperwork and applied way after me so am concerned that mine has been lost or overlooked,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,,,{'category': 'Reputation',subcategory': 'Good reputation'
1542,"@Bounce_BackLoan just to let you know 2 of my friends applied with @HSBC_UK on thurs one at 11am one at 3pm. Both got echo signs on Monday, ones now been paid out this morning assuming the other is getting paid this afternoon will keep you updated.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,,bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Manchester, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1543,@MakeupbyMikey Got it. Going to check it out. ^Shaun,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, UK",,{'category': 'General',subcategory': 'General'
1544,@juliesmith472 depends on bank. if hsbc or lloyds and you have the debit card go to branch and use the auto deposit machine,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"England, United Kingdom",,{'category': 'General',subcategory': 'General'
1545,@HSBCUKBusiness According to HSBC they have absolutely no way of telling you if an application has been received or is being processed. How is this even possible given that it was an online application that included any account number and sort code?,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Hertfordshire,,{'category': 'General',subcategory': 'General'
1546,"Looking forward to speaking with @HSBC_UK tomorrow regarding adding them to our panel of Lenders. 
 
 I've heard great things about their current offering. This in turn helps further compliment the service and product choice we can offer our clients.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, England",,{'category': 'General',subcategory': 'General'
1547,"@TroullosAndrew Hi Andrew, we are receiving extremely high volumes of requests for business bounce bank loans and there can be a delay in getting back to you so we really appreciate your patience and understanding with us.^Sam",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, UK",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1548,@HSBC_UK are the most useless bank,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,,,{'category': 'General',subcategory': 'General'
1549,@HSBCUKBusiness @HSBC @HSBC_UK bounce back loan I have still not had a call back from you regarding the feeder account set up on May 4th!! Whatâ€™s going on?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1550,@HSBC_UK Thank you Iâ€™ve sent you a DM,General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,London UK,,{'category': 'Reputation',subcategory': 'Good reputation'
1551,@MartinSLewis Any idea when banks will resume opening new accounts? I'm trying to open a regular saver with @HSBC_UK before they think of lowering the fixed rate,Customer Query,,query,Customer Query,,query,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,2m from you,,{'category': 'General',subcategory': 'General'
1552,"@HSBC got a text message claiming to be from you. Looks like fraud, just making you aware. I don't have a HSBC account! https://t.co/cKNJgIhAR6",General,,fraud related,General,,fraud related,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Dungannon,,{'category': 'General',subcategory': 'General'
1553,"CSM client HSBC Life has teamed up with their Wellbeing Ambassador Stephanie Cuvelier, Hong Kong-based Exercise Physiologist and Trainer, to launch the HSBC Life #LiveWellSeries. The first episode is now live &amp; you can take a look here: https://t.co/1XC3VBD7eY
  
 #TogetherWeThrive https://t.co/ZzOum6z3Qu",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,Global,,{'category': 'General',subcategory': 'General'
1554,@rishisunak Mr Chancellor please ask @HSBC why they are taking so long to process our bounce back loan. We are a small solvent company and I have orders to place :) but I need to pay suppliers. We applied 3 days ago &amp; have had no response at all. Whats going on?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
1555,@HSBC_UK Hi Guys. I wanted to know what the benefits of being a Premier customer are and whether you have access to any exclusive events? Please DM me.,Customer Query,,query,Customer Query,,query,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Bedford, United Kingdom",,{'category': 'General',subcategory': 'General'
1556,"@The_MalBori Hello. Thank you for writing into us, In order to assist you we would need more information. Hence, request you to call us on phone banking services so that the team can assist you, refer link, https://t.co/6l1EkET5fj.^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
1557,@MakeupbyMikey You can include your full name and postcode via this link https://t.co/OCvB5tjRBZ,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, UK",,{'category': 'General',subcategory': 'General'
1558,"Goldman Sachs, Citi, HSBC among banks telling staff to stay at home https://t.co/EmEUqknb0a",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"New York, New York",,{'category': 'General',subcategory': 'General'
1559,"Citi, HSBC Opening Asia Offices Show Way for Rest of World https://t.co/bbhrzPwGBd",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"New York, New York",,{'category': 'General',subcategory': 'General'
1560,@MakeupbyMikey I'm sorry to hear this. May I ask for your to drop me a DM with your query? I'll do my best to sort it out for you. ^Shaun,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"London, UK",,{'category': 'General',subcategory': 'General'
1561,"@nic_lenz This option is not currently available Nick, however, we are working hard in the background to get this feature added into our App. I have no specific timescales but you can check https://t.co/qTYsQzfHka on a regular basis for updates. -Vicky",General,,update from bank,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,UK,,{'category': 'General',subcategory': 'General'
1562,"SportsHub presents : HSBC Singapore Rugby Sevens 2020, 10 Oct 2020 - 11 Oct 2020 at National Stadium at Singapore Sports Hub,Singapore. Buy your tickets now! #JustClick https://t.co/RiLvRYUSJd",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/a,,"Jakarta, Indonesia",,{'category': 'General',subcategory': 'General'
