,comment
322,… and don’t forget to leave a funny comment for our next video 💬
323,"I tried watching a Masterclass on Altered States. It takes so long to get going it is unwatchable. All of the beginning that I was saw was an autobiography. And there are no controls on the video, so you can't resume where you stopped or fast forward a bit. I'm afraid I don't have the patience, time and concentration span to sit through a Masterclass like that despite Vishen being an engaging speaker."
324,I just signed up for Silva method and can’t access it? Can Anyone help me?
325,Handsome Vishen!
326,
327,"Shhh… Just a spoiler: After 15 years of experimentation, Vishen will tell you the best personal growth tools to reach your audacious goals. You don't want to miss it: https://go.mindvalley.com/I1qRlbXF"
328,I remember seeing Vishen on this video a while back 🤩and thinking whow l had been inspired to do that and have what I call my “Dream box”🪐🕊💓....now I know l am on the same journey as Vishen🥰
329,Great mind  do extraordinary things that's what mindvalley is to the world.
330,"Yess , Mindvalley, What we see is what's going on in our HEADS."
331,Thank you looking for to the video
332,Woow uau Vishen 🙏👌💪
333,Sounds great
334,Thank you mindvalley✅
335,Want to join
336,"Shhh… Just a spoiler: After 15 years of experimentation, Vishen will tell you the best personal growth tools to reach your audacious goals. You don't want to miss it: https://go.mindvalley.com/wgeNhut6"
337,My Mentor
338,"In it, he'll wrap up what he's been speaking and writing about for the last 10 years into one advanced model to help you reach even your most audacious goals. 🔥
⠀
Curious? Join Vishen's new advanced goal-setting Masterclass this week.
⠀
Link here: https://go.mindvalley.com/I1qRlbXF"
339,"Find him very irritating. Voice, hands, mannerisms. Just can't watch him, even if the subject interests me, he is just too much."
340,"Be careful, you will find it  very  difficult to make contact with them after you paid. Maybe someone  can help me to get in touch with that company "
341,How do I sit a goals and stick to its.?
342,always goals!!!
343,"In it, he'll wrap up what he's been speaking and writing about for the last 10 years into one advanced model to help you reach even your most audacious goals. 🔥
⠀
Curious? Join Vishen's new advanced goal-setting Masterclass this week.
⠀
Link here: https://go.mindvalley.com/wgeNhut6"
344,"P.S - Following the call with Priyanka Chopra, we're officially launching Mindvalley India. 🙏 So stay tuned after the call for the latest on that from Vishen Lakhiani"
345,"Really disappointed Vishen, I admired your interviews with some great achiever’s. I thought the bar of mind valley is really high in terms of knowledge and tools we get with some brilliant minds from all over the world. But Priyanka? That sounds manipulative and will decrease your fan base. "
346,"Dear Priyanka,

Recently I read the book 📚 “Green-lights” by Mathew Mac Conaughey and saw his interview with Vishen life. 
I must say I was curious about what you would say. I had never heard about you. After reading your book “unfinished “ , I thought I should write a few words. 
We all have a life path. And life paths of each and every one are different. We can not judge any decision anyone makes in her or his life. Moreover I think any decision in life gets us where it gets us. Question is always, what do we learn, what did we learn? Do we change?
I honestly am impressed by the support and cooperation of your parents and family. This is the kind of support I would have liked. But then again my life path was a different one. 
I honestly believe that a lot of drama and trauma could be prevented if this kind of upraising was standard procedure for all of mankind. And again this is not something I can choose or change. But it is a very good example! 

Thank you for that! 🙏
Wishing you success in life and your career!
"
347,"I am slightly confused...should we even care about conventional outward indicators of success (e.g.: Time magazine rankings, numbers of IG followers, beauty pageants, etc)?. It might have been interesting to see in this post the contributions this lady is making in order to help to uplift humanity and upgrade conciousness."
348,Really enjoyed White Tiger film 👌
349,Genetic blessings rewarded with money and fame
350,"Absolutely amazing to see an Anti State & pseudo secular to launch Mindvalley India ..👏👏👏

Good Going Vishen

#BoycottBollywood"
351,"I watched the movie, 'White Tiger'  it was absolutely brilliant. 🎯☯️❤"
352,Go PCJ
353,Her feat pitbull.gastrobar!!ukraine.millionario..poore.ameruca development!!thanks i have!!!
354,Congratulations madam. Proud of you always.
355,We dint expect this from mindvalley plat form! Whats she is doing for humanity? Whats her quality!  These actor actress works only for money!
356,Poore american people.work in criminal.sale everyone!!credit!!thanks!!!
357,Mindvalley yes u need to come here in india...You will Find Extraordinary super humans in india...But Not bollywood stars! And not Politician!!
358,Is this about her movie promotion? Even now Indians don't give shitt about this mediocre celebrity. If you people don't know success can be bought with money
359,Mindvalley IS Just another Manipulation
360,Hmmm... Mindvalley usually responds to their commentors. Crickets...
361,What will she tslk about? 
362,Jonas is Lithuanian male name :)
363,"😑 I mean seriously come on. 
Cast Native Americans spiritual sisters 
Cast Moari sisters 
Cast NW president 
Cast Celtic sisters 
Cast sisters from middle east who still practice paganism after being victims of terrorism."
364,Disappointed on the choice of speaker!
365,🤷‍♀️🤔... and why?
366,Have no idea what this lady is about ..
367,We are all not going to be mother Theresa and besides Vishen can't hire her to come and speak she is dead..
368,Why?
369,Thank you!
370,
371,
372,Great. I agree completely
373,"This weekend (Saturday and Sunday) at 12pm Eastern / 9am Pacific, a new edition of free Unsinkable All-Day Online Conference is going to be airing at http://bit.ly/FREE-2021

Many of the top bounce back experts, teachers, and inspirational speakers will share their latest methods for manifesting:
1. Sonia Ricotti: HOW to Bounce Back BIG in 2021!
2. Bob Proctor: How to Shift Your Paradigms and Reprogram Your Mind
3. Lisa Nichols: Winners Never Quit: Rising Above the Impossible
4. John Assaraf: Innercise - The New Science to Unlock Your Brain's Hidden Power
5. Marci Shimoff: The Secret to being Happy (Even When Life Isn’t Perfect)
6. T. Harv Eker: Finding YOUR Big Financial Opportunity During These Difficult Economic Times
7. Les Brown: Mind Over Health - The Magic of Believing (How to Live a Long and Happy Life)
8. Sonia Ricotti: The 6 Steps to Manifesting Money in 2021
9. MYSTERY GUEST: Soar to the Top - Transforming Adversity into a Meaningful, Successful and Happy Life"
374,am proud ofyou  to many people to the would I upen hand  to the poor people of the pelippenes cuontry is bliend foor the people givesoport ing many aother
375,Yes
376,I agree
377,Yes
378,"Yes, indeed!"
379,"It's a brand new Masterclass this week on how to reach your most audacious goals by hacking your consciousness. 🧠
⠀
See this link for all the details: https://go.mindvalley.com/I1qRlbXF"
380,
381,Thank you!
382,good looking on the outside are you looking good on the in?/
383,"This weekend (Saturday and Sunday) at 12pm Eastern / 9am Pacific, a new edition of free Unsinkable All-Day Online Conference is going to be airing at http://bit.ly/FREE-2021

Many of the top bounce back experts, teachers, and inspirational speakers will share their latest methods for manifesting:
1. Sonia Ricotti: HOW to Bounce Back BIG in 2021!
2. Bob Proctor: How to Shift Your Paradigms and Reprogram Your Mind
3. Lisa Nichols: Winners Never Quit: Rising Above the Impossible
4. John Assaraf: Innercise - The New Science to Unlock Your Brain's Hidden Power
5. Marci Shimoff: The Secret to being Happy (Even When Life Isn’t Perfect)
6. T. Harv Eker: Finding YOUR Big Financial Opportunity During These Difficult Economic Times
7. Les Brown: Mind Over Health - The Magic of Believing (How to Live a Long and Happy Life)
8. Sonia Ricotti: The 6 Steps to Manifesting Money in 2021
9. MYSTERY GUEST: Soar to the Top - Transforming Adversity into a Meaningful, Successful and Happy Life"
384,Opt out
385,
386,"It's a brand new Masterclass this week on how to reach your most audacious goals by hacking your consciousness. 🧠
⠀
See this link for all the details: https://go.mindvalley.com/wgeNhut6"
387,I don’t understand when you say you can cancel in 15 days but no refunds and it’s hard to find customer service to talk to. Great at getting people to subscribe but beware!!!
388,I like show of star hollywood but now stay at home i want bettet see world.corona os not big problem.depression and windows of home..regular walk!!!thanks!!!
389,Transform me totally to understand existence as-it-is. Instantly acquire the require personity
390,
391,Thank you!
392,be he man you are growing to be!!!
393,"This weekend (Saturday and Sunday) at 12pm Eastern / 9am Pacific, a new edition of free Unsinkable All-Day Online Conference is going to be airing at http://bit.ly/FREE-2021

Many of the top bounce back experts, teachers, and inspirational speakers will share their latest methods for manifesting:
1. Sonia Ricotti: HOW to Bounce Back BIG in 2021!
2. Bob Proctor: How to Shift Your Paradigms and Reprogram Your Mind
3. Lisa Nichols: Winners Never Quit: Rising Above the Impossible
4. John Assaraf: Innercise - The New Science to Unlock Your Brain's Hidden Power
5. Marci Shimoff: The Secret to being Happy (Even When Life Isn’t Perfect)
6. T. Harv Eker: Finding YOUR Big Financial Opportunity During These Difficult Economic Times
7. Les Brown: Mind Over Health - The Magic of Believing (How to Live a Long and Happy Life)
8. Sonia Ricotti: The 6 Steps to Manifesting Money in 2021
9. MYSTERY GUEST: Soar to the Top - Transforming Adversity into a Meaningful, Successful and Happy Life"
394,
395,The satan again..who refused me a job..
396,el virus no existe Todo es producto de imaginacion :P! 
397,Great conversation! Perhaps my next read is Matthew McConaughey!
398,"I think his compass  is pointed in the right direction. Where are the tools though? You can describe a word and it’s meaning metaphorically, but application is a whole other thing. Hence knowledge vs. wisdom.
He’s describing “probable” language. Not only that which we speak to others but subconsciously speak to ourselves. Here’s the thing... if you’re speaking “non-truths” to yourself or others... “unbelievable”, “probably”, “maybe”, “try”.... then you’re self sabotaging your own consciousness and subconcious. Like he said use the right adjectives ... say what you mean... and practice awareness of your thoughts and words.... that’s just the start by the way....
The “ideals” are great, the “power of positive thinking” is great...
But it falls short of the most mechanically inclined without the tools... shown, taught, executed, supported, and held accountable. Life Coaching 101 "
399,A real privilege to have attended this live interview.  I think wonderful parts of the book were brought up for discussion and explained so brilliantly by the author.
400,"I got spoofed....few weeks ago. I was upset. I had lost my 29 year old son when he took his life. I have taken his death very hard. A nd a fellow pretending g to be you wanted to help me. His English was broken, spelling was off. I was so upset l had shared my broken heart, thought it was you, it wasn't.  Why do people take advantage od people?!?"
401,I appreciate to be part of this zoom interview. Such a great Men. 😊❤🙏🏻
402,Amazingly said I agree now that I have listened to Mathew like believe that we can all succeed as high and far as possible
403,"Shot! Young man! This is the human race ! That's why it is our human right to be free, think freely, the human race which ever pathway or Part all of us chooses to be part of, Democracy is another word! What ever pathway each n everyone of us humans decide to go down? Good, bad, or other levels of entity for ones own level of energies.....Be true to ones self then you n I will enjoy this world until it's time to go back to the light to which we came from....blessings to you n I all ..."
404,"I love <3  Matthew wisdom - one of my favorite motivational speech videos is linked to one that he did, when he gave a speech to students ending their University stay - so clever & wise dude & very charming energy.  He is indeed a great  ""Light bringer"" - you light UP our existence with his smile & wisdom!  Hugs from Niceland <3 !"
405,"Wooooooooow you both MM:. Unlock other block statement in my soul, its like I'm-possible!!! Thank you so much for sharing your love and blessing today 🙌⚜️🕊️👁️🛡️😇🧠☕🎶👑🌏🌎💐🌹"
406,"If we are looking at literal interpretations, “incredible” is far worse. 🙂"
407,Had never before given the word a second thought. Now I will. 
408,It's unbelievable that this has occupied so much of his time....🤨
409,Great share and what nice soul Matthew Mc is! Love it ❤️
410,Duh... unbelievable and incredible mean exactly the same. So why is it ok to say incredible?
411,Other people’s views are always welcome whatever they are thank you 😊 
412,Love Matthew!!  So very insightful. 
413,And you are an awesome human being. 👏🏾👏🏾
414,I just love this guy.  😍
415,Great 👍
416,How about getting rid of the Word politics the Worst Word in Human existence
417,"Hello, incredible is another word for unbelievable. What's this drama all about?"
418,Thank you!
419,I feel that way about the word ExtraOrdinary 🥴🤷🏾‍♀️🙄
420,I loved it. Thank you. 🥰
421,"This man is BELIEVABLE! Sharing and imparting his knowledge, insight and wisdom!♥️"
422,"And if you're looking for that special someone, you won’t want to miss her upcoming 3-day Calling In The One workshop. 😍 (More details coming soon)"
423,My issue with relationships is I feel like it’s something I have no control over... regardless of what I do it’s still reliant on another person choosing to be with me. I could be the best version of myself and do all the right things and still not find that person. 
424,"1. Can you love a butterfly 🦋 a free spirit? 
2. Elder-sing "
425,
426,ino com  ent to the cuontry beacuose  the pelippenes is ilove him
427,hi beuteful girl  antonina m roxas  from la city batangas pilippenes tank yuo for suforting problem bie god angel from .me I bigtalk  tomy best beacuose many other peple from us is pruod of me I so sad and craying to  I never clame to my money frises I drem is rwong iso happy beacuose many peopleof the would is niver
428,This are definatly fundamental practices 💜👌
429,🙂🙏🙂😃🙂🙏
430,"Thanks 🙏
I love them all😘"
431,So shall it be due to power in d tongue. Believe in Him and so shall it be in Jesus Mighty Name
432,Thank you! 🙏🏼✨ Siempre Gratitud! ❤️
433,Thank you!
434,Bravo!!!
435,Merci à l’Univers 
436,
437,
438,Will do 🙏🙏
439,"PURGE!!!
😂😂😂"
440,🚀
441,:-) 
442,Thank you❤️
443,Amen. Thank you.
444,"Hi I'm about to sign up for the yearly mind valley membership and I'd just like to find out if I can enroll in multiple quests simultaneously?
(I checked the FAQ but didn't find an answer)
Thanks in advance :)"
445,❤
446,I believe 🙏
447,Sana Sassad 
448,Mira LYchi Hleo
449,thank you so much
450,
451,
452,
453,Thank you !
454,
455,
456,Thank u Sir
457,Thank you
458,Nice
459,"That sounds super fantastic. The world needs this new type of education powerful,  effective and out of line. I'm in!!"
460,"👏👏 
if you are still looking for employees in Switzerland, I am very enthusiastic about your business philosophy"
461,"Today education got to its place by not receiving feedback from students or not knowing how to apply it. In this case I have to say Mindvalley seems to do the same. It It is very difficult to find a way how to give feedback and when feedback form received there is actually no space for feeback on actual program. Even the app is missing report for errors or new ideas.
Or am I wrong?"
462,"You are changing the world and how people perceive things. 
Thanks for all you doing."
463,"With mindvalley, you won't need any other form of education to succeed as long as you just know how to read an wright."
464,"Thank you for investing your energy in its entirety into making available all of this valuable learning to all socioeconomic classes. We are all one and only as strong as our weakest link. Old ways, Old thought built from fear created social systems that divide us and have hierarchies. 
I am grateful for the shared wealth in knowledge that Mindvalley is making accessible to all...a trie affirmation that every human being is special and has a unique purpose!"
465,Looking forward to this!
466,Can’t wait for Mindvalley Australia 🇦🇺 🙌🏻
467,"At some point, I'd like to learn from Vishen and team. Building a modern school for education is my dream. And mindvalley is my idol."
468,Thank You
469,"Wow, all amazing and so excited to see the upcoming programs, local tribes and Tribe Talks, thanks for all you do - feeling grateful!"
470,Been following since 2010! Congratulations 🎇
471,"#2 You are on Facebook, disparaging Facebook.  Hmmmmm"
472,Does every country include Jamaica?
473,Thank you !
474,I'm ready to evolve 🙌🏾
475,I would love to work with you in Portugal
476,Congratulations! You and your company are Amazing! Great Picture!
477,Congratulations and super Thank You. You have no idea how happy it makes me to know that the education that Mind Valley provide will be available to everyone in the world. You guys have changed my life and I also support and promote you guys to everyone that I know. Blessings for you and I wish you that God takes to the super highest places on earth so you can help people to change their lives. Blessings.
478,"Bring it on!!!
Bring mind valley to Belize!!! So many have and will continue to benefit from your amazing programs"
479,We love you Vishen and your teachings 🚀🙏
480,"I'm in for sure..can't ask for something better than this. Even though my life is kinda mess rn, I still have that feeling that I can have a brighter future.. i just don't know how, but I'm sure by following mindvalley I can learn something that's important for my life"
481,Here am I Auckland New Zealand Aotearoa the land of the long white cloud first country in the world to see the sun
482,"Merci a Mindvalley 
Il m'a inspiré a créé ma propre entreprise. Et grâce a ses conseils je suis sûr que, bien qu'au tout début, nous arriverons a améliorer la vie de nos concitoyens. Et par la même occasion, l'univers."
483,"TO JE PARÁDA,JE TŘEBA NOVOU SÍŤ,DOUFÁM ŽE MĚ ZA PRAVDU NEODSTŘIHNETE OD SÍTĚ.PŘEJI HODNĚ ŠTĚSTÍ,JAK PRO VÁS TAK PRO NÁS DĚKUJEME.🍀💖🌹🙋"
484,Brave woman.Standing up for herself and saying treat me as a human too.Love her.What an example.
485,Interesting quote. Though trees are not grown in a day :p
486,Truth👍
487,Equality!
488,i stand for political correction and human right. 
489,Learn lesson
490,Nah. Stand for nothing.
491,My Shero👊🙏😇💯❣
492,Great
493,Thank you ❤
494,"In this week’s masterclass Eric will be sharing powerful principles from psychology, evolutionary biology and nutritional anthropology that, in just one hour, can radically change your relationship with food. For good.

Find out why diets don’t work and what to do instead 👉 https://go.mindvalley.com/pYqf3q0-"
495,"Señores MindValley

1.- No existe proceso enseñanza-aprendizaje, pues no hay interacción entre los conocimientos brindados y la contención del alumno en el camino de asimilación de conocimientos 
2.- El proceso de aprendizaje no posee un tutor, para dar una mayor seguridad al estudiante. Todo aprendizaje en educación superior tiene un tutor que  acompaña al estudiante en el proceso del curso.

3.- Se habla de desarrollar, es verdad, todo parte por voluntad, pero desde el inicio del mundo un aprendiz tiene un Maestro Vivo, no una grabación, ni siquiera inteligencia artificial para responder correos. Quiero Mindvalley respete su promesa de Publicidad, “si no te gusta el curso te devolvemos el dinero”. MI voluntad es que quiero humanidad, no grabaciones y si ustedes no pueden ofrecer clases online en vivo con un docente que pueda responder mis inquietudes de aprendizaje; entonces, mi voluntad requiere la devolución de mi 299 dólares.

4.- Por ser Master en gestión de Calidad de servicios y productos,  estoy acostumbrada a evaluar servicios de educación y mi experiencia con ustedes no va y publicaré mi experiencia evaluando cada punto de acceso y respuesta a la venta de un servicio. Mi nombre es Ana María Agüero Sáenz y mi curso lo tome el 31 de enero de 2021 y no lo quiero porque NO SON Clases en vivo.
Envie correos y Ustedes tampoco responden correos.
"
496,Great men in great place!♥♥
497,"Nanda Lobato procura este senhor no YouTube ou no site de MindValley. Vais ter um Boom que te ajudará, e muito,na nutrição. Bjo no ❤️"
498,Thanks for your kind words and I'm so glad to hear that  from you all is well and thanks
499,Mayank Saxena 
500,"Sorry for posting a message here🙏
We really need your help right now .All around the people around the world need to know what is now happening in Myanmar .The military is trying to take control over by force and they are trying to cut off all the connection from the world we young generation really  deserve to get what we we really need .please make this world spread before our Wifi all gone .we are asking for help .#Save #Myanmar 🇲🇲 
#Save #Burma 🇲🇲 
#Reject #the #Military !!!
#We #need #democracy!!!
#Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!"
501,Was very good to be online with him. Incredible actor and human being. Totally enjoyed it 
502,I bought one of Mindvalley courses - still can not access it! Tried to reset my password - -no sucess!! There is no valid customer support at all. No working email. Chatbot does not respond.  Just awful!!
503,"Awesome webinar!  Thank you, Vishen and thank you, Matthew!"
504,Is there a recording of this interview?
505,i missed it and i cant find the replay...help please?
506,Well said. ! True ! Action 1st 
507,"Wont be making him richer , he should be giving his books away"
508,Thank you!
509,"i dont agree to start with a phone to film, because the camera has more space and tools to shoot and position lol in my phone i just download an app and it gets full 🥱"
510,"I ""tried"" to log in - but me & my computer skills can indeed improve - a lot..:) ....!"
511,The guy’s right.
512,"Read his book , great !!!!"
513,Kym Jay Stubbs 😬
514,Britt Anie 
515,"I wouldn’t ask a question, however I would tell him I liked his role in Frailty as the God’s Hands Killer. Great movie!"
516,"I would ask "" How do you feel today?. and how does he see the future. Because he has accomplished so much allready. Its like he is allready at his end. How can he handle this situation when he his allready at the top. What kind of advice would he give us?.     Because we got goals. But what happens when we reached those goals at the top whit what we have passion for!."
517,I would ask him...is he still chasing his hero? And has his hero changed with everything that is changing around us?
518,What quality do you find MOST valuable??
519,"I would ask ""What is the best advice you ever got, that you didn't take?"""
520,Who are your mentors/teachers?  Family and non-family.  And... What are his top 3 books?
521,Hopefully will be able to access since past 
522,"The Story with Interstellar, I love it. Its not just a movie, right?"
523,That was a fantastic conversation. Thank you for making that happen. 
524,"Do the roles you choose to play in movies - truly relate in some way to your own life experiences growing up? What age do you believe yourself to be spiritually, emotionally, mentally different from your physical age? "
525,Why?
526,What’s your favorite food?
527,How do you keep looking so young?
528,How do you make your vision of your life?
529,"Read his book, excellent."
530,Great!
531,when?
532,How do you start your day? 🥰
533,hello
534,Thank you
535,💋 
536,"Sorry for posting a message here🙏
We really need your help right now .All around the people around the world need to know what is now happening in Myanmar .The military is trying to take control over by force and they are trying to cut off all the connection from the world we young generation really  deserve to get what we we really need .please make this world spread before our Wifi all gone .we are asking for help .#Save #Myanmar 🇲🇲 
#Save #Burma 🇲🇲 
#Reject #the #Military !!!
#We #need #democracy!!!
#Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!"
537,"🗣Give me an example, of how you’ve helped someone grow..?!"
538,"Strengthen your body, mind, and spirit with Mindvalley All Access: https://go.mindvalley.com/bIhJOifD"
539,I love how you coin the Brules as an Asian but that last guy is by definition very far from 'best shape'
540,I know whar you are doing and its great
541,💛
542,"After one month and not quite failing each time (kept running out of time trying to get the right amount of weight for the first few weeks), 1% less fat, no more double butt, no change in food 50/50 good and junk, getting stronger, 1% more muscle, dropped 2 lbs"
543,Monisha Sengupta 
544,Jose Alonso Hernández 
545,"The promotional videos are really catchy, the masterclasses are really awesome. All the programs are well designed for personal growth.
I would have purchased the full access BUT the customer support is really really pathetic that is what keeps me away from buying it and trusting it."
546,Lots of help signing up but zero help with refunds. I feel ripped off. You have 15 days to cancel but there’s this little tiny button in billing that you have to click. And the notifications. 🤦‍♀️ 10 a day if not more? I am sad. 
547,Terrible customer service at the Mindvalley website. I'm very disappointed. 
548,"Help🙏

စစ်တပ်က ယနေ့ ၁ ၊ ၂ ၊ ၂၀၂၁ မနက်ပိုင်းမှာ လူထုခေါင်းဆောင် ( နိုင်ငံတော် အတိုင်ပင်ခံ ) ဒေါ်အောင်ဆန်းဆုကြည် နှင့်တကွ အစိုးရ ဆိုင်ရာ ဝန်ကြီးများကို ခေါ်ဆောင်ထိန်းသိမ်း ခဲ့ပါတယ်။ ဖွံ့ဖြိုးဆဲ ဒီမိုကရေစီစနစ်နှင့် တိုင်းပြည်၏အနာဂတ်အတွက် ကျွန်တော်တို့မြန်မာ နိုင်ငံ အ နေ နဲ့ အားလုံးရဲ့ အကူအညီကို လိုအပ်ပါတယ်။

We  urge  your urgent attention as our democratically elected leaders including State Counsellor Aung San Suu Kyi, President Win Myint along with senior government officials, and the  elected members of parliament have now been detained by the military. Please kindly assist our country by stopping this military coup  as it is happening right now in Myanmar( Burma). 

Aung San Suu Kyi’s party won a landslide victory in the recent election and the new parliament is due to start in the next few hours. 

We need your urgent appropriate action and intervention to stop this military coup to protect the people of Myanmar (Burma) and the democratically elected National League for Democracy Government.

Kami mendesak perhatian mendesak Anda karena para pemimpin kami yang terpilih secara demokratis termasuk Penasihat Negara Aung San Suu Kyi, Presiden Win Myint bersama dengan pejabat senior pemerintah, dan anggota parlemen yang terpilih sekarang telah ditahan oleh militer. Mohon bantu negara kami dengan menghentikan kudeta militer ini seperti yang terjadi sekarang di Myanmar (Burma).

Partai Aung San Suu Kyi menang telak dalam pemilihan baru-baru ini dan parlemen baru akan dimulai dalam beberapa jam ke depan.

Kami membutuhkan tindakan dan intervensi Anda yang mendesak untuk menghentikan kudeta militer ini untuk melindungi rakyat Myanmar (Burma) dan Liga Nasional untuk Pemerintah Demokrasi yang terpilih secara demokratis.

เราขอให้คุณให้ความสนใจอย่างเร่งด่วนในฐานะผู้นำที่มาจากการเลือกตั้งตามระบอบประชาธิปไตยของเราซึ่งรวมถึงที่ปรึกษาแห่งรัฐอองซานซูจีประธานาธิบดีวินมินต์พร้อมด้วยเจ้าหน้าที่ระดับสูงของรัฐบาลและสมาชิกรัฐสภาที่มาจากการเลือกตั้งได้ถูกควบคุมตัวโดยทหารแล้ว โปรดช่วยประเทศของเราด้วยการหยุดการรัฐประหารครั้งนี้ซึ่งกำลังเกิดขึ้นในเมียนมาร์ (พม่า)

พรรคของอองซานซูจีได้รับชัยชนะอย่างถล่มทลายในการเลือกตั้งครั้งล่าสุดและรัฐสภาแห่งใหม่มีกำหนดจะเริ่มในอีกไม่กี่ชั่วโมงข้างหน้า

เราต้องการการดำเนินการและการแทรกแซงที่เหมาะสมอย่างเร่งด่วนของคุณเพื่อหยุดการรัฐประหารครั้งนี้เพื่อปกป้องประชาชนเมียนมาร์ (พม่า) และรัฐบาลสันนิบาตแห่งชาติเพื่อประชาธิปไตยที่มาจากการเลือกตั้งตามระบอบประชาธิปไตย

アウンサンスーチー国家顧問、ウィンミン大統領、政府高官、選出された国会議員など、民主的に選出された指導者が軍に拘束されているため、早急に注意を払うことをお勧めします。現在ミャンマー（ビルマ）で起こっているこの軍事クーデターを止めて、我が国を助けてください。

アウンサンスーチーの党は最近の選挙で圧勝し、新しい議会は数時間以内に発足する予定です。

ミャンマー（ビルマ）の人々と民主的に選出された国民民主連盟を保護するために、この軍事クーデターを阻止するために、あなたの緊急の適切な行動と介入が必要です。

Aung San Suu Kyi 주 보좌관, Win Myint 대통령, 고위 공무원, 선출 된 의원 등 민주적으로 선출 된 지도자들이 이제 군에 구금 되었으니 긴급한 관심을 촉구합니다. 지금 미얀마 (버마)에서 일어나고있는이 군사 쿠데타를 막아서 우리 나라를 친절하게 도와주세요.

Aung San Suu Kyi의 정당은 최근 선거에서 압도적 인 승리를 거두었으며 새 의회는 다음 몇 시간 안에 시작될 예정입니다.

미얀마 (버마) 국민과 민주적으로 선출 된 내셔널 리그 (National League for Democracy Government)를 보호하기 위해이 군사 쿠데타를 막으려면 귀하의 긴급한 적절한 조치와 개입이 필요합니다.

Hinihimok namin ang iyong kagyat na pansin dahil ang aming mga piniling demokratikong pinuno kabilang ang State Counsellor Aung San Suu Kyi, Pangulong Win Myint kasama ang mga nakatatandang opisyal ng gobyerno, at ang mga nahalal na miyembro ng parlyamento ay nakakulong na ngayon ng militar. Mangyaring pinapayuhan na tulungan ang aming bansa sa pamamagitan ng pagtigil sa coup ng militar na ito dahil nangyayari ito ngayon sa Myanmar (Burma).

Ang partido ni Aung San Suu Kyi ay nanalo ng isang malaking tagumpay sa nagdaang halalan at ang bagong parlyamento ay dahil sa magsisimula sa mga susunod na oras.

Kailangan namin ang iyong kagyat na naaangkop na aksyon at interbensyon upang ihinto ang coup ng militar na ito upang protektahan ang mga tao ng Myanmar (Burma) at ang demokratikong nahalal na National League para sa Pamahalaang Demokrasya.

我们敦促您的紧急关注，我们的民主选举的领导人，包括国务委员昂山素季，总裁温敏与政府高级官员一起，和议会的当选成员现在已经被军方拘留。请停止缅甸发生的军事政变，以协助我们的国家。

昂山素季（Aung San Suu Kyi）的政党在最近的选举中赢得压倒性胜利，新议会定于未来几个小时内开始。

我们需要您采取紧急适当的行动和干预，以停止这场军事政变，以保护缅甸人民和民主选举产生的全国民主政府联盟。

#Save #Myanmar 🇲🇲 
#Save #Burma 🇲🇲 
#Reject #the #Military !!!
#We #need #democracy!!!
#Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!!

Credit"
549,"Everyone who reading this comment please help us. I am from Myanmar and we have a critical issue. Our country's military has taken down the government and control every communication service around Myanmar. Some of our national leaders have been captured by them too.We cant even make call and some sims cant even use internet. Please help us trend this and help our country ... we are all humans right? Plus all we can do is ask for help now. Please trend this.
#Save #Myanmar 🇲🇲 
#Save #Burma 🇲🇲 
#Reject_the_Military !!!
#We_need_democracy!!!
#Help_us_and_Support #our #Leader,  #Aung #San #Suu #Kyi #government!!!"
550,I want to no more
551,Excellent .Thank You Vishen Lakhiani
552,
553,"im trying to hard to get support from your website. 
I paid for Silva Ultra Mind course 2 weeks. and i havent been able to start my course.
1) i logged in using facebook, and that email i no longer have access to.
2) i tried to change my email address but its not a feature that is available
3) i then tried to change my password, it said an email was sent to me, but i dont have access to that email.
4) the mind valley support which replies me once a week, told me to merge my accounts. I did as asked.
5) I still cant start Silva Ultra Mind course, my email still has not been, and neither was my password been change
6) it is now past the 15 days guarantee
What the HELL is going on with your support and service?
"
554,"🙏🙏🙏

We as the citizens of Myanmar do not agree with the current situation and would like to request the world leaders. UN and the world media, please help our country- our leaders- our people - from this bitter acts.  We want democracy and want our country to develop as our neighbouring countries. 

#savemyanmar"
555,Mindvalley How's your weekend going?
556,"Please save myanmar! 🙏🙏🙏🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲🇲
Myanmar people are now under horrible Military dictator! 
Help us International Community. Please help us.
I am begging your support.  Please UN and All other nations help us please. Most of the leaders of our country are now detained .And till now, we don't know the detained place of our leaders. 
Please International community help us. Otherwise we will starve and dead. Please help us 😩😩😩😫😫😫😫😫😫😖😖"
